Side,alpha,Source,Target,Rot,AdaptFrac,Method,BAC
Right,0.01,HTL,PTT,0,0.05,QOTu-HSsrc,0.5492424242424243
Right,0.01,HTL,PTT,0,0.05,none-HSsrc,0.49782196969696973
Right,0.01,HTL,PTT,0,0.5,QOTu-HSsrc,0.47490530303030304
Right,0.01,HTL,PTT,0,0.5,none-HSsrc,0.49782196969696973
Right,0.01,HTL,PTT,1,0.05,QOTu-HSsrc,0.6027184005138014
Right,0.01,HTL,PTT,1,0.05,none-HSsrc,0.501361294556218
Right,0.01,HTL,PTT,1,0.5,QOTu-HSsrc,0.47746533934629937
Right,0.01,HTL,PTT,1,0.5,none-HSsrc,0.501361294556218
Right,0.01,HTL,PTT,2,0.05,QOTu-HSsrc,0.5751225165100596
Right,0.01,HTL,PTT,2,0.05,none-HSsrc,0.500893567708697
Right,0.01,HTL,PTT,2,0.5,QOTu-HSsrc,0.473723524566131
Right,0.01,HTL,PTT,2,0.5,none-HSsrc,0.500893567708697
Right,0.01,HTL,PTT,3,0.05,QOTu-HSsrc,0.5009407829404694
Right,0.01,HTL,PTT,3,0.05,none-HSsrc,0.5059408700500009
Right,0.01,HTL,PTT,3,0.5,QOTu-HSsrc,0.48325754804090665
Right,0.01,HTL,PTT,3,0.5,none-HSsrc,0.5059408700500009
Right,0.01,HTL,PTT,4,0.05,QOTu-HSsrc,0.49413571880365054
Right,0.01,HTL,PTT,4,0.05,none-HSsrc,0.502891479172314
Right,0.01,HTL,PTT,4,0.5,QOTu-HSsrc,0.4891930965934761
Right,0.01,HTL,PTT,4,0.5,none-HSsrc,0.502891479172314
Right,0.01,HTL,PTT,5,0.05,QOTu-HSsrc,0.4914950760966876
Right,0.01,HTL,PTT,5,0.05,none-HSsrc,0.4982094897045658
Right,0.01,HTL,PTT,5,0.5,QOTu-HSsrc,0.4901521933751119
Right,0.01,HTL,PTT,5,0.5,none-HSsrc,0.4982094897045658
Right,0.01,HTL,PTT,6,0.05,QOTu-HSsrc,0.7371212121212121
Right,0.01,HTL,PTT,6,0.05,none-HSsrc,0.614090909090909
Right,0.01,HTL,PTT,6,0.5,QOTu-HSsrc,0.7318686868686869
Right,0.01,HTL,PTT,6,0.5,none-HSsrc,0.614090909090909
Right,0.01,HTL,PTT,7,0.05,QOTu-HSsrc,0.7696402717451831
Right,0.01,HTL,PTT,7,0.05,none-HSsrc,0.5855551843189665
Right,0.01,HTL,PTT,7,0.5,QOTu-HSsrc,0.7711994654193117
Right,0.01,HTL,PTT,7,0.5,none-HSsrc,0.5855551843189665
Right,0.01,HTL,RTT,0,0.05,QOTu-HSsrc,0.8508185664357104
Right,0.01,HTL,RTT,0,0.05,none-HSsrc,0.7403580844932246
