Side,Arc,Enc,Source,Target,Rot,AdaptFrac,ArcOK,nEval,nEvalPos,nArc,nArcPos,Method,Uses,K,BAC,Precision,Recall
Left,contig,Ang,HTL,PTT,0,0.05,1,1136,85,114,5,NoAdapt,nothing,,0.47955448592377015,0.06528189910979229,0.25882352941176473
Left,contig,Ang,HTL,PTT,0,0.05,1,1136,85,114,5,TargetOnly,arc labels,,0.5525773772877371,0.08702064896755163,0.6941176470588235
Left,contig,Ang,HTL,PTT,0,0.05,1,1136,85,114,5,Source+Target,arc labels,,0.46497453405720046,0.05128205128205128,0.1411764705882353
Left,contig,Ang,HTL,PTT,0,0.05,1,1136,85,114,5,COT,arc labels,,0.47567582694352717,0.06940509915014165,0.5764705882352941
Left,contig,Ang,HTL,PTT,0,0.05,1,1136,85,114,5,none-Ang-HS4,arc labels,,0.4501427212178878,0.05120481927710843,0.2
Left,contig,Ang,HTL,PTT,0,0.05,1,1136,85,114,5,none-Ang-HSsrc,nothing,,0.4930822186153243,0.058823529411764705,0.047058823529411764
Left,contig,Ang,HTL,PTT,0,0.05,1,1136,85,114,5,none-Ang-PCA,arc segments,64.0,0.5372978116079924,0.09042553191489362,0.4
Left,contig,Ang,HTL,PTT,0,0.05,1,1136,85,114,5,QOTu-Ang-HS4,arc labels,,0.4490625174903453,0.05263157894736842,0.2235294117647059
Left,contig,Ang,HTL,PTT,0,0.05,1,1136,85,114,5,QOTu-Ang-HSsrc,arc segments,,0.4873733698998153,0.05,0.047058823529411764
Left,contig,Ang,HTL,PTT,0,0.05,1,1136,85,114,5,QOTu-Ang-PCA,arc segments,32.0,0.546504729389377,0.10762331838565023,0.2823529411764706
Left,contig,Ang,HTL,PTT,0,0.05,1,1136,85,114,5,QOTc-Ang-HS4,arc labels,,0.43046398388089774,0.044444444444444446,0.18823529411764706
Left,contig,Ang,HTL,PTT,0,0.05,1,1136,85,114,5,QOTc-Ang-HSsrc,arc labels,,0.6184026417417585,0.10849909584086799,0.7058823529411765
Left,contig,Ang,HTL,PTT,0,0.05,1,1136,85,114,5,QOTc-Ang-PCA,arc labels,64.0,0.47950411372922147,0.05333333333333334,0.09411764705882353
Left,contig,Ang,HTL,PTT,0,0.05,1,1136,85,114,5,SDM-Ang-HS4,arc labels,,0.48651144568198357,0.06172839506172839,0.11764705882352941
Left,contig,Ang,HTL,PTT,0,0.05,1,1136,85,114,5,SDM-Ang-HSsrc,arc labels,,0.4521911904628645,0.0646900269541779,0.5647058823529412
Left,contig,Ang,HTL,PTT,0,0.05,1,1136,85,114,5,SDM-Ang-PCA,arc labels,64.0,0.505540941400347,0.08196721311475409,0.11764705882352941
Left,contig,Ang,HTL,PTT,0,0.1,1,1136,85,227,7,NoAdapt,nothing,,0.47955448592377015,0.06528189910979229,0.25882352941176473
Left,contig,Ang,HTL,PTT,0,0.1,1,1136,85,227,7,TargetOnly,arc labels,,0.5465271170313987,0.08384710234278668,0.8
Left,contig,Ang,HTL,PTT,0,0.1,1,1136,85,227,7,Source+Target,arc labels,,0.4955504561482062,0.06993006993006994,0.11764705882352941
Left,contig,Ang,HTL,PTT,0,0.1,1,1136,85,227,7,COT,arc labels,,0.4806962556668719,0.07097591888466413,0.6588235294117647
Left,contig,Ang,HTL,PTT,0,0.1,1,1136,85,227,7,none-Ang-HS4,arc labels,,0.449364750657637,0.05187319884726225,0.21176470588235294
Left,contig,Ang,HTL,PTT,0,0.1,1,1136,85,227,7,none-Ang-HSsrc,nothing,,0.4930822186153243,0.058823529411764705,0.047058823529411764
Left,contig,Ang,HTL,PTT,0,0.1,1,1136,85,227,7,none-Ang-PCA,arc segments,64.0,0.5353500867521128,0.09117647058823529,0.36470588235294116
Left,contig,Ang,HTL,PTT,0,0.1,1,1136,85,227,7,QOTu-Ang-HS4,arc labels,,0.4571500531706498,0.055232558139534885,0.2235294117647059
Left,contig,Ang,HTL,PTT,0,0.1,1,1136,85,227,7,QOTu-Ang-HSsrc,arc segments,,0.4873733698998153,0.05,0.047058823529411764
Left,contig,Ang,HTL,PTT,0,0.1,1,1136,85,227,7,QOTu-Ang-PCA,arc segments,16.0,0.4990541221245872,0.0738255033557047,0.12941176470588237
Left,contig,Ang,HTL,PTT,0,0.1,1,1136,85,227,7,QOTc-Ang-HS4,arc labels,,0.3715173224380142,0.03625954198473282,0.2235294117647059
Left,contig,Ang,HTL,PTT,0,0.1,1,1136,85,227,7,QOTc-Ang-HSsrc,arc labels,,0.5919796272457604,0.09667673716012085,0.7529411764705882
Left,contig,Ang,HTL,PTT,0,0.1,1,1136,85,227,7,QOTc-Ang-PCA,arc labels,64.0,0.5165780489169978,0.08282208588957055,0.3176470588235294
Left,contig,Ang,HTL,PTT,0,0.1,1,1136,85,227,7,SDM-Ang-HS4,arc labels,,0.4568478200033581,0.055865921787709494,0.23529411764705882
Left,contig,Ang,HTL,PTT,0,0.1,1,1136,85,227,7,SDM-Ang-HSsrc,arc labels,,0.387048749090502,0.0464,0.3411764705882353
Left,contig,Ang,HTL,PTT,0,0.1,1,1136,85,227,7,SDM-Ang-PCA,arc labels,64.0,0.4797839592544915,0.07017543859649122,0.5647058823529412
Left,contig,Ang,HTL,PTT,0,0.2,1,1136,85,454,10,NoAdapt,nothing,,0.47955448592377015,0.06528189910979229,0.25882352941176473
Left,contig,Ang,HTL,PTT,0,0.2,1,1136,85,454,10,TargetOnly,arc labels,,0.49486763306654724,0.07272727272727272,0.32941176470588235
Left,contig,Ang,HTL,PTT,0,0.2,1,1136,85,454,10,Source+Target,arc labels,,0.5031174791515084,0.08045977011494253,0.08235294117647059
Left,contig,Ang,HTL,PTT,0,0.2,1,1136,85,454,10,COT,arc labels,,0.4873062069737505,0.07142857142857142,0.49411764705882355
Left,contig,Ang,HTL,PTT,0,0.2,1,1136,85,454,10,none-Ang-HS4,arc labels,,0.4340572004253652,0.0515695067264574,0.27058823529411763
Left,contig,Ang,HTL,PTT,0,0.2,1,1136,85,454,10,none-Ang-HSsrc,nothing,,0.4930822186153243,0.058823529411764705,0.047058823529411764
Left,contig,Ang,HTL,PTT,0,0.2,1,1136,85,454,10,none-Ang-PCA,arc segments,64.0,0.5389824816701181,0.09404388714733543,0.35294117647058826
Left,contig,Ang,HTL,PTT,0,0.2,1,1136,85,454,10,QOTu-Ang-HS4,arc labels,,0.43310572563944705,0.05133928571428571,0.27058823529411763
Left,contig,Ang,HTL,PTT,0,0.2,1,1136,85,454,10,QOTu-Ang-HSsrc,arc segments,,0.48689763250685625,0.04938271604938271,0.047058823529411764
Left,contig,Ang,HTL,PTT,0,0.2,1,1136,85,454,10,QOTu-Ang-PCA,arc segments,16.0,0.48379134717635863,0.06597222222222222,0.2235294117647059
Left,contig,Ang,HTL,PTT,0,0.2,1,1136,85,454,10,QOTc-Ang-HS4,arc labels,,0.38181563776795213,0.04559748427672956,0.3411764705882353
Left,contig,Ang,HTL,PTT,0,0.2,1,1136,85,454,10,QOTc-Ang-HSsrc,arc labels,,0.4592824760732076,0.06550218340611354,0.5294117647058824
Left,contig,Ang,HTL,PTT,0,0.2,1,1136,85,454,10,QOTc-Ang-PCA,arc labels,64.0,0.4245368556556781,0.03761755485893417,0.1411764705882353
Left,contig,Ang,HTL,PTT,0,0.2,1,1136,85,454,10,SDM-Ang-HS4,arc labels,,0.4850842335031063,0.06060606060606061,0.11764705882352941
Left,contig,Ang,HTL,PTT,0,0.2,1,1136,85,454,10,SDM-Ang-HSsrc,arc labels,,0.38903565231991943,0.04332129963898917,0.2823529411764706
Left,contig,Ang,HTL,PTT,0,0.2,1,1136,85,454,10,SDM-Ang-PCA,arc labels,64.0,0.46679352997145573,0.05723905723905724,0.2
Left,contig,Ang,HTL,PTT,0,0.3,1,1136,85,682,28,NoAdapt,nothing,,0.47955448592377015,0.06528189910979229,0.25882352941176473
Left,contig,Ang,HTL,PTT,0,0.3,1,1136,85,682,28,TargetOnly,arc labels,,0.49373705714445626,0.07048458149779736,0.18823529411764706
Left,contig,Ang,HTL,PTT,0,0.3,1,1136,85,682,28,Source+Target,arc labels,,0.5037667207701348,0.08080808080808081,0.09411764705882353
Left,contig,Ang,HTL,PTT,0,0.3,1,1136,85,682,28,COT,arc labels,,0.4728661778698159,0.06914893617021277,0.611764705882353
Left,contig,Ang,HTL,PTT,0,0.3,1,1136,85,682,28,none-Ang-HS4,arc labels,,0.4951586724128281,0.06493506493506493,0.058823529411764705
Left,contig,Ang,HTL,PTT,0,0.3,1,1136,85,682,28,none-Ang-HSsrc,nothing,,0.4930822186153243,0.058823529411764705,0.047058823529411764
Left,contig,Ang,HTL,PTT,0,0.3,1,1136,85,682,28,none-Ang-PCA,arc segments,16.0,0.4277830637488107,0.044854881266490766,0.2
Left,contig,Ang,HTL,PTT,0,0.3,1,1136,85,682,28,QOTu-Ang-HS4,arc labels,,0.5066211451278895,0.08602150537634409,0.09411764705882353
Left,contig,Ang,HTL,PTT,0,0.3,1,1136,85,682,28,QOTu-Ang-HSsrc,arc segments,,0.49135277326915544,0.058823529411764705,0.058823529411764705
Left,contig,Ang,HTL,PTT,0,0.3,1,1136,85,682,28,QOTu-Ang-PCA,arc segments,8.0,0.45338892931102037,0.05612244897959184,0.25882352941176473
Left,contig,Ang,HTL,PTT,0,0.3,1,1136,85,682,28,QOTc-Ang-HS4,arc labels,,0.5200313426988302,0.09655172413793103,0.16470588235294117
Left,contig,Ang,HTL,PTT,0,0.3,1,1136,85,682,28,QOTc-Ang-HSsrc,arc labels,,0.5123747691274416,0.09090909090909091,0.12941176470588237
Left,contig,Ang,HTL,PTT,0,0.3,1,1136,85,682,28,QOTc-Ang-PCA,arc labels,64.0,0.5672636704539095,0.13855421686746988,0.27058823529411763
Left,contig,Ang,HTL,PTT,0,0.3,1,1136,85,682,28,SDM-Ang-HS4,arc labels,,0.5250069961381317,0.09574468085106383,0.21176470588235294
Left,contig,Ang,HTL,PTT,0,0.3,1,1136,85,682,28,SDM-Ang-HSsrc,arc labels,,0.4049980410813231,0.050488599348534204,0.36470588235294116
Left,contig,Ang,HTL,PTT,0,0.3,1,1136,85,682,28,SDM-Ang-PCA,arc labels,64.0,0.5329713997873174,0.08985507246376812,0.36470588235294116
Left,contig,Ang,HTL,PTT,0,0.5,1,1136,85,1124,54,NoAdapt,nothing,,0.47955448592377015,0.06528189910979229,0.25882352941176473
Left,contig,Ang,HTL,PTT,0,0.5,1,1136,85,1124,54,TargetOnly,arc labels,,0.5066771142329434,0.07728337236533958,0.38823529411764707
Left,contig,Ang,HTL,PTT,0,0.5,1,1136,85,1124,54,Source+Target,arc labels,,0.4780769015503442,0.05228758169934641,0.09411764705882353
Left,contig,Ang,HTL,PTT,0,0.5,1,1136,85,1124,54,COT,arc labels,,0.49094419880226114,0.07282913165266107,0.611764705882353
Left,contig,Ang,HTL,PTT,0,0.5,1,1136,85,1124,54,none-Ang-HS4,arc labels,,0.4854760172384844,0.06493506493506493,0.17647058823529413
Left,contig,Ang,HTL,PTT,0,0.5,1,1136,85,1124,54,none-Ang-HSsrc,nothing,,0.4930822186153243,0.058823529411764705,0.047058823529411764
Left,contig,Ang,HTL,PTT,0,0.5,1,1136,85,1124,54,none-Ang-PCA,arc segments,16.0,0.40840655957911237,0.03816793893129771,0.17647058823529413
Left,contig,Ang,HTL,PTT,0,0.5,1,1136,85,1124,54,QOTu-Ang-HS4,arc labels,,0.5070968825208485,0.08695652173913043,0.09411764705882353
Left,contig,Ang,HTL,PTT,0,0.5,1,1136,85,1124,54,QOTu-Ang-HSsrc,arc segments,,0.4864218951138971,0.04878048780487805,0.047058823529411764
Left,contig,Ang,HTL,PTT,0,0.5,1,1136,85,1124,54,QOTu-Ang-PCA,arc segments,8.0,0.517781384675659,0.0975609756097561,0.1411764705882353
Left,contig,Ang,HTL,PTT,0,0.5,1,1136,85,1124,54,QOTc-Ang-HS4,arc labels,,0.5094755694856439,0.09195402298850575,0.09411764705882353
Left,contig,Ang,HTL,PTT,0,0.5,1,1136,85,1124,54,QOTc-Ang-HSsrc,arc labels,,0.4969328930430403,0.07,0.08235294117647059
Left,contig,Ang,HTL,PTT,0,0.5,1,1136,85,1124,54,QOTc-Ang-PCA,arc labels,64.0,0.49412884087983433,0.07167235494880546,0.24705882352941178
Left,contig,Ang,HTL,PTT,0,0.5,1,1136,85,1124,54,SDM-Ang-HS4,arc labels,,0.48379134717635863,0.06597222222222222,0.2235294117647059
