Side,Arc,Enc,Source,Target,Rot,AdaptFrac,ArcOK,nEval,nEvalPos,nArc,nArcPos,Method,Uses,K,BAC,Precision,Recall
Left,random,Ang,HTL,PTT,0,0.05,1,1136,85,114,6,NoAdapt,nothing,,0.47955448592377015,0.06528189910979229,0.25882352941176473
Left,random,Ang,HTL,PTT,0,0.05,1,1136,85,114,6,TargetOnly,arc labels,,0.44530139363071586,0.05378973105134474,0.25882352941176473
Left,random,Ang,HTL,PTT,0,0.05,1,1136,85,114,6,Source+Target,arc labels,,0.45861644372306487,0.04700854700854701,0.12941176470588237
Left,random,Ang,HTL,PTT,0,0.05,1,1136,85,114,6,COT,arc labels,,0.4498013096770583,0.05739514348785872,0.3058823529411765
Left,random,Ang,HTL,PTT,0,0.05,1,1136,85,114,6,none-Ang-HS4,arc labels,,0.5160967146135333,0.08888888888888889,0.18823529411764706
Left,random,Ang,HTL,PTT,0,0.05,1,1136,85,114,6,none-Ang-HSsrc,nothing,,0.4930822186153243,0.058823529411764705,0.047058823529411764
Left,random,Ang,HTL,PTT,0,0.05,1,1136,85,114,6,none-Ang-PCA,arc segments,8.0,0.4596126937930262,0.051470588235294115,0.16470588235294117
Left,random,Ang,HTL,PTT,0,0.05,1,1136,85,114,6,QOTu-Ang-HS4,arc labels,,0.4996585884591705,0.0743801652892562,0.10588235294117647
Left,random,Ang,HTL,PTT,0,0.05,1,1136,85,114,6,QOTu-Ang-HSsrc,arc segments,,0.501214529579672,0.07692307692307693,0.08235294117647059
Left,random,Ang,HTL,PTT,0,0.05,1,1136,85,114,6,QOTu-Ang-PCA,arc segments,16.0,0.49399451502770475,0.06936416184971098,0.1411764705882353
Left,random,Ang,HTL,PTT,0,0.05,1,1136,85,114,6,QOTc-Ang-HS4,arc labels,,0.47954329210275926,0.0,0.0
Left,random,Ang,HTL,PTT,0,0.05,1,1136,85,114,6,QOTc-Ang-HSsrc,arc labels,,0.49900934684054404,0.07339449541284404,0.09411764705882353
Left,random,Ang,HTL,PTT,0,0.05,1,1136,85,114,6,QOTc-Ang-PCA,arc labels,64.0,0.570593832204623,0.14465408805031446,0.27058823529411763
Left,random,Ang,HTL,PTT,0,0.05,1,1136,85,114,6,SDM-Ang-HS4,arc labels,,0.45891867689035654,0.045454545454545456,0.11764705882352941
Left,random,Ang,HTL,PTT,0,0.05,1,1136,85,114,6,SDM-Ang-HSsrc,arc labels,,0.4005429003190239,0.04918032786885246,0.35294117647058826
Left,random,Ang,HTL,PTT,0,0.05,1,1136,85,114,6,SDM-Ang-PCA,arc labels,64.0,0.48093132590809873,0.05442176870748299,0.09411764705882353
Left,random,Ang,HTL,PTT,0,0.1,1,1136,85,227,8,NoAdapt,nothing,,0.47955448592377015,0.06528189910979229,0.25882352941176473
Left,random,Ang,HTL,PTT,0,0.1,1,1136,85,227,8,TargetOnly,arc labels,,0.45853249006548386,0.053156146179401995,0.18823529411764706
Left,random,Ang,HTL,PTT,0,0.1,1,1136,85,227,8,Source+Target,arc labels,,0.5088711031510607,0.08695652173913043,0.11764705882352941
Left,random,Ang,HTL,PTT,0,0.1,1,1136,85,227,8,COT,arc labels,,0.49248894610175187,0.07179487179487179,0.32941176470588235
Left,random,Ang,HTL,PTT,0,0.1,1,1136,85,227,8,none-Ang-HS4,arc labels,,0.49101136172832593,0.06796116504854369,0.16470588235294117
Left,random,Ang,HTL,PTT,0,0.1,1,1136,85,227,8,none-Ang-HSsrc,nothing,,0.4930822186153243,0.058823529411764705,0.047058823529411764
Left,random,Ang,HTL,PTT,0,0.1,1,1136,85,227,8,none-Ang-PCA,arc segments,16.0,0.431068450215481,0.04216867469879518,0.16470588235294117
Left,random,Ang,HTL,PTT,0,0.1,1,1136,85,227,8,QOTu-Ang-HS4,arc labels,,0.5069681535792242,0.08403361344537816,0.11764705882352941
Left,random,Ang,HTL,PTT,0,0.1,1,1136,85,227,8,QOTu-Ang-HSsrc,arc segments,,0.4997873174007948,0.07446808510638298,0.08235294117647059
Left,random,Ang,HTL,PTT,0,0.1,1,1136,85,227,8,QOTu-Ang-PCA,arc segments,8.0,0.4666759948508423,0.06634304207119741,0.4823529411764706
Left,random,Ang,HTL,PTT,0,0.1,1,1136,85,227,8,QOTc-Ang-HS4,arc labels,,0.4779873509822578,0.0273972602739726,0.023529411764705882
Left,random,Ang,HTL,PTT,0,0.1,1,1136,85,227,8,QOTc-Ang-HSsrc,arc labels,,0.5048916997817205,0.08181818181818182,0.10588235294117647
Left,random,Ang,HTL,PTT,0,0.1,1,1136,85,227,8,QOTc-Ang-PCA,arc labels,64.0,0.5661834667263671,0.1282051282051282,0.29411764705882354
Left,random,Ang,HTL,PTT,0,0.1,1,1136,85,227,8,SDM-Ang-HS4,arc labels,,0.44816701180948115,0.06312769010043041,0.5176470588235295
Left,random,Ang,HTL,PTT,0,0.1,1,1136,85,227,8,SDM-Ang-HSsrc,arc labels,,0.38285666312195665,0.049019607843137254,0.4117647058823529
Left,random,Ang,HTL,PTT,0,0.1,1,1136,85,227,8,SDM-Ang-PCA,arc labels,64.0,0.4775172104998041,0.058823529411764705,0.15294117647058825
Left,random,Ang,HTL,PTT,0,0.2,1,1136,85,454,23,NoAdapt,nothing,,0.47955448592377015,0.06528189910979229,0.25882352941176473
Left,random,Ang,HTL,PTT,0,0.2,1,1136,85,454,23,TargetOnly,arc labels,,0.45416689987127107,0.05570291777188329,0.24705882352941178
