Side,Arc,Enc,Source,Target,Rot,AdaptFrac,ArcOK,nEval,nEvalPos,nArc,nArcPos,Method,Uses,K,BAC,Precision,Recall
Right,contig,Ang,HTL,PTT,0,0.05,0,1136,80,114,1,NoAdapt,nothing,,0.4975378787878788,0.06451612903225806,0.05
Right,contig,Ang,HTL,PTT,0,0.05,0,1136,80,114,1,TargetOnly,arc labels,,,,
Right,contig,Ang,HTL,PTT,0,0.05,0,1136,80,114,1,Source+Target,arc labels,,,,
Right,contig,Ang,HTL,PTT,0,0.05,0,1136,80,114,1,COT,arc labels,,,,
Right,contig,Ang,HTL,PTT,0,0.05,0,1136,80,114,1,none-Ang-HS4,arc labels,,,,
Right,contig,Ang,HTL,PTT,0,0.05,0,1136,80,114,1,none-Ang-HSsrc,nothing,,0.49782196969696973,0.06060606060606061,0.025
Right,contig,Ang,HTL,PTT,0,0.05,0,1136,80,114,1,none-Ang-PCA,arc segments,32.0,0.4675189393939394,0.020618556701030927,0.025
Right,contig,Ang,HTL,PTT,0,0.05,0,1136,80,114,1,QOTu-Ang-HS4,arc labels,,,,
Right,contig,Ang,HTL,PTT,0,0.05,0,1136,80,114,1,QOTu-Ang-HSsrc,arc segments,,0.5492424242424243,0.08021390374331551,0.75
Right,contig,Ang,HTL,PTT,0,0.05,0,1136,80,114,1,QOTu-Ang-PCA,arc segments,16.0,0.5657196969696969,0.08311688311688312,0.8
Right,contig,Ang,HTL,PTT,0,0.05,0,1136,80,114,1,QOTc-Ang-HS4,arc labels,,,,
Right,contig,Ang,HTL,PTT,0,0.05,0,1136,80,114,1,QOTc-Ang-HSsrc,arc labels,,,,
Right,contig,Ang,HTL,PTT,0,0.05,0,1136,80,114,1,QOTc-Ang-PCA,arc labels,,,,
Right,contig,Ang,HTL,PTT,0,0.05,0,1136,80,114,1,SDM-Ang-HS4,arc labels,,,,
Right,contig,Ang,HTL,PTT,0,0.05,0,1136,80,114,1,SDM-Ang-HSsrc,arc labels,,,,
Right,contig,Ang,HTL,PTT,0,0.05,0,1136,80,114,1,SDM-Ang-PCA,arc labels,,,,
Right,contig,Ang,HTL,PTT,0,0.1,1,1136,80,227,2,NoAdapt,nothing,,0.4975378787878788,0.06451612903225806,0.05
Right,contig,Ang,HTL,PTT,0,0.1,1,1136,80,227,2,TargetOnly,arc labels,,0.4793560606060606,0.027777777777777776,0.025
Right,contig,Ang,HTL,PTT,0,0.1,1,1136,80,227,2,Source+Target,arc labels,,0.4934659090909091,0.03571428571428571,0.0125
Right,contig,Ang,HTL,PTT,0,0.1,1,1136,80,227,2,COT,arc labels,,0.48598484848484846,0.06743185078909612,0.5875
Right,contig,Ang,HTL,PTT,0,0.1,1,1136,80,227,2,none-Ang-HS4,arc labels,,0.4921401515151515,0.044444444444444446,0.025
Right,contig,Ang,HTL,PTT,0,0.1,1,1136,80,227,2,none-Ang-HSsrc,nothing,,0.49782196969696973,0.06060606060606061,0.025
Right,contig,Ang,HTL,PTT,0,0.1,1,1136,80,227,2,none-Ang-PCA,arc segments,32.0,0.4784090909090909,0.02702702702702703,0.025
Right,contig,Ang,HTL,PTT,0,0.1,1,1136,80,227,2,QOTu-Ang-HS4,arc labels,,0.5539772727272727,0.08130081300813008,0.75
Right,contig,Ang,HTL,PTT,0,0.1,1,1136,80,227,2,QOTu-Ang-HSsrc,arc segments,,0.5690340909090909,0.09558823529411764,0.4875
Right,contig,Ang,HTL,PTT,0,0.1,1,1136,80,227,2,QOTu-Ang-PCA,arc segments,16.0,0.5557765151515152,0.08194444444444444,0.7375
Right,contig,Ang,HTL,PTT,0,0.1,1,1136,80,227,2,QOTc-Ang-HS4,arc labels,,0.5053030303030303,0.3333333333333333,0.0125
Right,contig,Ang,HTL,PTT,0,0.1,1,1136,80,227,2,QOTc-Ang-HSsrc,arc labels,,0.4001893939393939,0.02027027027027027,0.075
Right,contig,Ang,HTL,PTT,0,0.1,1,1136,80,227,2,QOTc-Ang-PCA,arc labels,32.0,0.5053030303030303,0.3333333333333333,0.0125
Right,contig,Ang,HTL,PTT,0,0.1,1,1136,80,227,2,SDM-Ang-HS4,arc labels,,0.500094696969697,0.07142857142857142,0.0125
Right,contig,Ang,HTL,PTT,0,0.1,1,1136,80,227,2,SDM-Ang-HSsrc,arc labels,,0.40511363636363634,0.025477707006369428,0.1
Right,contig,Ang,HTL,PTT,0,0.1,1,1136,80,227,2,SDM-Ang-PCA,arc labels,32.0,0.49706439393939394,0.06349206349206349,0.05
Right,contig,Ang,HTL,PTT,0,0.2,1,1136,80,454,2,NoAdapt,nothing,,0.4975378787878788,0.06451612903225806,0.05
Right,contig,Ang,HTL,PTT,0,0.2,1,1136,80,454,2,TargetOnly,arc labels,,0.48077651515151515,0.028985507246376812,0.025
Right,contig,Ang,HTL,PTT,0,0.2,1,1136,80,454,2,Source+Target,arc labels,,0.5214015151515151,0.15,0.075
Right,contig,Ang,HTL,PTT,0,0.2,1,1136,80,454,2,COT,arc labels,,0.4684659090909091,0.021052631578947368,0.025
Right,contig,Ang,HTL,PTT,0,0.2,1,1136,80,454,2,none-Ang-HS4,arc labels,,0.4987689393939394,0.06451612903225806,0.025
Right,contig,Ang,HTL,PTT,0,0.2,1,1136,80,454,2,none-Ang-HSsrc,nothing,,0.49782196969696973,0.06060606060606061,0.025
Right,contig,Ang,HTL,PTT,0,0.2,1,1136,80,454,2,none-Ang-PCA,arc segments,32.0,0.4558712121212121,0.02666666666666667,0.05
Right,contig,Ang,HTL,PTT,0,0.2,1,1136,80,454,2,QOTu-Ang-HS4,arc labels,,0.5661931818181818,0.09420289855072464,0.4875
Right,contig,Ang,HTL,PTT,0,0.2,1,1136,80,454,2,QOTu-Ang-HSsrc,arc segments,,0.5652462121212121,0.09855072463768116,0.425
Right,contig,Ang,HTL,PTT,0,0.2,1,1136,80,454,2,QOTu-Ang-PCA,arc segments,16.0,0.5605113636363637,0.08309859154929577,0.7375
Right,contig,Ang,HTL,PTT,0,0.2,1,1136,80,454,2,QOTc-Ang-HS4,arc labels,,0.5034090909090909,0.14285714285714285,0.0125
Right,contig,Ang,HTL,PTT,0,0.2,1,1136,80,454,2,QOTc-Ang-HSsrc,arc labels,,0.3910037878787879,0.025139664804469275,0.1125
Right,contig,Ang,HTL,PTT,0,0.2,1,1136,80,454,2,QOTc-Ang-PCA,arc labels,32.0,0.5079545454545454,0.1,0.05
Right,contig,Ang,HTL,PTT,0,0.2,1,1136,80,454,2,SDM-Ang-HS4,arc labels,,0.5034090909090909,0.14285714285714285,0.0125
Right,contig,Ang,HTL,PTT,0,0.2,1,1136,80,454,2,SDM-Ang-HSsrc,arc labels,,0.3899621212121212,0.023121387283236993,0.1
Right,contig,Ang,HTL,PTT,0,0.2,1,1136,80,454,2,SDM-Ang-PCA,arc labels,64.0,0.4557765151515151,0.03864734299516908,0.1
Right,contig,Ang,HTL,PTT,0,0.3,1,1136,80,682,17,NoAdapt,nothing,,0.4975378787878788,0.06451612903225806,0.05
Right,contig,Ang,HTL,PTT,0,0.3,1,1136,80,682,17,TargetOnly,arc labels,,0.5330492424242425,0.10852713178294573,0.175
Right,contig,Ang,HTL,PTT,0,0.3,1,1136,80,682,17,Source+Target,arc labels,,0.5112689393939394,0.12121212121212122,0.05
Right,contig,Ang,HTL,PTT,0,0.3,1,1136,80,682,17,COT,arc labels,,0.4106060606060606,0.056910569105691054,0.7
Right,contig,Ang,HTL,PTT,0,0.3,1,1136,80,682,17,none-Ang-HS4,arc labels,,0.49886363636363634,0.06666666666666667,0.0375
Right,contig,Ang,HTL,PTT,0,0.3,1,1136,80,682,17,none-Ang-HSsrc,nothing,,0.49782196969696973,0.06060606060606061,0.025
Right,contig,Ang,HTL,PTT,0,0.3,1,1136,80,682,17,none-Ang-PCA,arc segments,32.0,0.4491477272727273,0.02,0.0375
Right,contig,Ang,HTL,PTT,0,0.3,1,1136,80,682,17,QOTu-Ang-HS4,arc labels,,0.5910984848484848,0.12213740458015267,0.4
Right,contig,Ang,HTL,PTT,0,0.3,1,1136,80,682,17,QOTu-Ang-HSsrc,arc segments,,0.4810606060606061,0.054945054945054944,0.125
Right,contig,Ang,HTL,PTT,0,0.3,1,1136,80,682,17,QOTu-Ang-PCA,arc segments,32.0,0.659185606060606,0.16666666666666666,0.5125
Right,contig,Ang,HTL,PTT,0,0.3,1,1136,80,682,17,QOTc-Ang-HS4,arc labels,,0.6050189393939394,0.10918114143920596,0.55
Right,contig,Ang,HTL,PTT,0,0.3,1,1136,80,682,17,QOTc-Ang-HSsrc,arc labels,,0.4815340909090909,0.055248618784530384,0.125
Right,contig,Ang,HTL,PTT,0,0.3,1,1136,80,682,17,QOTc-Ang-PCA,arc labels,64.0,0.6416666666666667,0.2198581560283688,0.3875
Right,contig,Ang,HTL,PTT,0,0.3,1,1136,80,682,17,SDM-Ang-HS4,arc labels,,0.48929924242424244,0.06439393939393939,0.2125
Right,contig,Ang,HTL,PTT,0,0.3,1,1136,80,682,17,SDM-Ang-HSsrc,arc labels,,0.5694128787878787,0.10248447204968944,0.4125
Right,contig,Ang,HTL,PTT,0,0.3,1,1136,80,682,17,SDM-Ang-PCA,arc labels,64.0,0.5959280303030303,0.11275964391691394,0.475
Right,contig,Ang,HTL,PTT,0,0.5,1,1136,80,1124,41,NoAdapt,nothing,,0.4975378787878788,0.06451612903225806,0.05
Right,contig,Ang,HTL,PTT,0,0.5,1,1136,80,1124,41,TargetOnly,arc labels,,0.5306818181818181,0.1044776119402985,0.175
Right,contig,Ang,HTL,PTT,0,0.5,1,1136,80,1124,41,Source+Target,arc labels,,0.5060606060606061,0.09090909090909091,0.05
Right,contig,Ang,HTL,PTT,0,0.5,1,1136,80,1124,41,COT,arc labels,,0.471969696969697,0.06432748538011696,0.55
Right,contig,Ang,HTL,PTT,0,0.5,1,1136,80,1124,41,none-Ang-HS4,arc labels,,0.4983901515151515,0.06521739130434782,0.0375
Right,contig,Ang,HTL,PTT,0,0.5,1,1136,80,1124,41,none-Ang-HSsrc,nothing,,0.49782196969696973,0.06060606060606061,0.025
Right,contig,Ang,HTL,PTT,0,0.5,1,1136,80,1124,41,none-Ang-PCA,arc segments,32.0,0.4486742424242424,0.019867549668874173,0.0375
Right,contig,Ang,HTL,PTT,0,0.5,1,1136,80,1124,41,QOTu-Ang-HS4,arc labels,,0.4748106060606061,0.03636363636363636,0.05
Right,contig,Ang,HTL,PTT,0,0.5,1,1136,80,1124,41,QOTu-Ang-HSsrc,arc segments,,0.47490530303030304,0.04032258064516129,0.0625
Right,contig,Ang,HTL,PTT,0,0.5,1,1136,80,1124,41,QOTu-Ang-PCA,arc segments,16.0,0.5137310606060606,0.08849557522123894,0.125
Right,contig,Ang,HTL,PTT,0,0.5,1,1136,80,1124,41,QOTc-Ang-HS4,arc labels,,0.6735795454545455,0.21965317919075145,0.475
Right,contig,Ang,HTL,PTT,0,0.5,1,1136,80,1124,41,QOTc-Ang-HSsrc,arc labels,,0.4891098484848485,0.06060606060606061,0.125
Right,contig,Ang,HTL,PTT,0,0.5,1,1136,80,1124,41,QOTc-Ang-PCA,arc labels,64.0,0.6017045454545454,0.14720812182741116,0.3625
Right,contig,Ang,HTL,PTT,0,0.5,1,1136,80,1124,41,SDM-Ang-HS4,arc labels,,0.48352272727272727,0.02040816326530612,0.0125
Right,contig,Ang,HTL,PTT,0,0.5,1,1136,80,1124,41,SDM-Ang-HSsrc,arc labels,,0.4824810606060606,0.055865921787709494,0.125
Right,contig,Ang,HTL,PTT,0,0.5,1,1136,80,1124,41,SDM-Ang-PCA,arc labels,64.0,0.5121212121212121,0.08176100628930817,0.1625
Right,contig,Ang,HTL,PTT,1,0.05,1,1136,67,114,2,NoAdapt,nothing,,0.5045934965025202,0.06896551724137931,0.05970149253731343
Right,contig,Ang,HTL,PTT,1,0.05,1,1136,67,114,2,TargetOnly,arc labels,,0.4096868324420926,0.00881057268722467,0.029850746268656716
Right,contig,Ang,HTL,PTT,1,0.05,1,1136,67,114,2,Source+Target,arc labels,,0.4943663348365749,0.034482758620689655,0.014925373134328358
Right,contig,Ang,HTL,PTT,1,0.05,1,1136,67,114,2,COT,arc labels,,0.46071792580595616,0.04814004376367615,0.3283582089552239
Right,contig,Ang,HTL,PTT,1,0.05,1,1136,67,114,2,none-Ang-HS4,arc labels,,0.5004258408611759,0.06060606060606061,0.029850746268656716
Right,contig,Ang,HTL,PTT,1,0.05,1,1136,67,114,2,none-Ang-HSsrc,nothing,,0.501361294556218,0.06451612903225806,0.029850746268656716
Right,contig,Ang,HTL,PTT,1,0.05,1,1136,67,114,2,none-Ang-PCA,arc segments,64.0,0.46957681191795936,0.012195121951219513,0.014925373134328358
Right,contig,Ang,HTL,PTT,1,0.05,1,1136,67,114,2,QOTu-Ang-HS4,arc labels,,0.59427837426525,0.093841642228739,0.47761194029850745
Right,contig,Ang,HTL,PTT,1,0.05,1,1136,67,114,2,QOTu-Ang-HSsrc,arc segments,,0.6027184005138014,0.10130718954248366,0.4626865671641791
Right,contig,Ang,HTL,PTT,1,0.05,1,1136,67,114,2,QOTu-Ang-PCA,arc segments,16.0,0.6000237353922623,0.08,0.7164179104477612
Right,contig,Ang,HTL,PTT,1,0.05,1,1136,67,114,2,QOTc-Ang-HS4,arc labels,,0.5041885986345168,0.125,0.014925373134328358
Right,contig,Ang,HTL,PTT,1,0.05,1,1136,67,114,2,QOTc-Ang-HSsrc,arc labels,,0.3553048601706156,0.017977528089887642,0.11940298507462686
Right,contig,Ang,HTL,PTT,1,0.05,1,1136,67,114,2,QOTc-Ang-PCA,arc labels,64.0,0.4920277005989696,0.029411764705882353,0.014925373134328358
Right,contig,Ang,HTL,PTT,1,0.05,1,1136,67,114,2,SDM-Ang-HS4,arc labels,,0.5041885986345168,0.125,0.014925373134328358
Right,contig,Ang,HTL,PTT,1,0.05,1,1136,67,114,2,SDM-Ang-HSsrc,arc labels,,0.36376582941233965,0.015267175572519083,0.08955223880597014
Right,contig,Ang,HTL,PTT,1,0.05,1,1136,67,114,2,SDM-Ang-PCA,arc labels,64.0,0.4882858858188012,0.023809523809523808,0.014925373134328358
Right,contig,Ang,HTL,PTT,1,0.1,1,1136,67,227,2,NoAdapt,nothing,,0.5045934965025202,0.06896551724137931,0.05970149253731343
Right,contig,Ang,HTL,PTT,1,0.1,1,1136,67,227,2,TargetOnly,arc labels,,0.4704913226198288,0.020618556701030927,0.029850746268656716
Right,contig,Ang,HTL,PTT,1,0.1,1,1136,67,227,2,Source+Target,arc labels,,0.4990436033117853,0.05263157894736842,0.014925373134328358
Right,contig,Ang,HTL,PTT,1,0.1,1,1136,67,227,2,COT,arc labels,,0.436263490778102,0.025210084033613446,0.08955223880597014
Right,contig,Ang,HTL,PTT,1,0.1,1,1136,67,227,2,none-Ang-HS4,arc labels,,0.500893567708697,0.0625,0.029850746268656716
Right,contig,Ang,HTL,PTT,1,0.1,1,1136,67,227,2,none-Ang-HSsrc,nothing,,0.501361294556218,0.06451612903225806,0.029850746268656716
Right,contig,Ang,HTL,PTT,1,0.1,1,1136,67,227,2,none-Ang-PCA,arc segments,32.0,0.4251008754171146,0.014218009478672985,0.04477611940298507
Right,contig,Ang,HTL,PTT,1,0.1,1,1136,67,227,2,QOTu-Ang-HS4,arc labels,,0.58539156416235,0.08888888888888889,0.47761194029850745
Right,contig,Ang,HTL,PTT,1,0.1,1,1136,67,227,2,QOTu-Ang-HSsrc,arc segments,,0.6022506736662804,0.10097719869706841,0.4626865671641791
Right,contig,Ang,HTL,PTT,1,0.1,1,1136,67,227,2,QOTu-Ang-PCA,arc segments,16.0,0.5883933931837538,0.078397212543554,0.6716417910447762
Right,contig,Ang,HTL,PTT,1,0.1,1,1136,67,227,2,QOTc-Ang-HS4,arc labels,,0.5041885986345168,0.125,0.014925373134328358
Right,contig,Ang,HTL,PTT,1,0.1,1,1136,67,227,2,QOTc-Ang-HSsrc,arc labels,,0.36465939712103657,0.018823529411764704,0.11940298507462686
Right,contig,Ang,HTL,PTT,1,0.1,1,1136,67,227,2,QOTc-Ang-PCA,arc labels,64.0,0.5065062898789495,0.1,0.029850746268656716
Right,contig,Ang,HTL,PTT,1,0.1,1,1136,67,227,2,SDM-Ang-HS4,arc labels,,0.5041885986345168,0.125,0.014925373134328358
Right,contig,Ang,HTL,PTT,1,0.1,1,1136,67,227,2,SDM-Ang-HSsrc,arc labels,,0.37078173212515536,0.015873015873015872,0.08955223880597014
Right,contig,Ang,HTL,PTT,1,0.1,1,1136,67,227,2,SDM-Ang-PCA,arc labels,32.0,0.49530178853161694,0.037037037037037035,0.014925373134328358
Right,contig,Ang,HTL,PTT,1,0.2,1,1136,67,454,19,NoAdapt,nothing,,0.5045934965025202,0.06896551724137931,0.05970149253731343
Right,contig,Ang,HTL,PTT,1,0.2,1,1136,67,454,19,TargetOnly,arc labels,,0.47088225849238374,0.0521415270018622,0.417910447761194
Right,contig,Ang,HTL,PTT,1,0.2,1,1136,67,454,19,Source+Target,arc labels,,0.5125657959035506,0.125,0.04477611940298507
Right,contig,Ang,HTL,PTT,1,0.2,1,1136,67,454,19,COT,arc labels,,0.39428675146251907,0.0455005055611729,0.6716417910447762
Right,contig,Ang,HTL,PTT,1,0.2,1,1136,67,454,19,none-Ang-HS4,arc labels,,0.5065062898789495,0.1,0.029850746268656716
Right,contig,Ang,HTL,PTT,1,0.2,1,1136,67,454,19,none-Ang-HSsrc,nothing,,0.501361294556218,0.06451612903225806,0.029850746268656716
Right,contig,Ang,HTL,PTT,1,0.2,1,1136,67,454,19,none-Ang-PCA,arc segments,32.0,0.4265040559596778,0.014423076923076924,0.04477611940298507
Right,contig,Ang,HTL,PTT,1,0.2,1,1136,67,454,19,QOTu-Ang-HS4,arc labels,,0.6073956689890119,0.10472972972972973,0.4626865671641791
Right,contig,Ang,HTL,PTT,1,0.2,1,1136,67,454,19,QOTu-Ang-HSsrc,arc segments,,0.4694302109657512,0.03980099502487562,0.11940298507462686
