Side,Arc,Enc,Source,Target,Rot,AdaptFrac,ArcOK,nEval,nEvalPos,nArc,nArcPos,Method,Uses,K,BAC,Precision,Recall
Right,random,Ang,HTL,PTT,0,0.05,1,1136,80,114,8,NoAdapt,nothing,,0.4975378787878788,0.06451612903225806,0.05
Right,random,Ang,HTL,PTT,0,0.05,1,1136,80,114,8,TargetOnly,arc labels,,0.4701704545454546,0.06339144215530904,0.5
Right,random,Ang,HTL,PTT,0,0.05,1,1136,80,114,8,Source+Target,arc labels,,0.49109848484848484,0.030303030303030304,0.0125
Right,random,Ang,HTL,PTT,0,0.05,1,1136,80,114,8,COT,arc labels,,0.46107954545454544,0.06223479490806223,0.55
Right,random,Ang,HTL,PTT,0,0.05,1,1136,80,114,8,none-Ang-HS4,arc labels,,0.49640151515151515,0.05555555555555555,0.025
Right,random,Ang,HTL,PTT,0,0.05,1,1136,80,114,8,none-Ang-HSsrc,nothing,,0.49782196969696973,0.06060606060606061,0.025
Right,random,Ang,HTL,PTT,0,0.05,1,1136,80,114,8,none-Ang-PCA,arc segments,32.0,0.4784090909090909,0.02702702702702703,0.025
Right,random,Ang,HTL,PTT,0,0.05,1,1136,80,114,8,QOTu-Ang-HS4,arc labels,,0.4857007575757576,0.04597701149425287,0.05
Right,random,Ang,HTL,PTT,0,0.05,1,1136,80,114,8,QOTu-Ang-HSsrc,arc segments,,0.47490530303030304,0.04032258064516129,0.0625
Right,random,Ang,HTL,PTT,0,0.05,1,1136,80,114,8,QOTu-Ang-PCA,arc segments,32.0,0.5923295454545454,0.15625,0.3125
Right,random,Ang,HTL,PTT,0,0.05,1,1136,80,114,8,QOTc-Ang-HS4,arc labels,,0.6177083333333333,0.15,0.4125
Right,random,Ang,HTL,PTT,0,0.05,1,1136,80,114,8,QOTc-Ang-HSsrc,arc labels,,0.5853219696969697,0.10199004975124377,0.5125
Right,random,Ang,HTL,PTT,0,0.05,1,1136,80,114,8,QOTc-Ang-PCA,arc labels,64.0,0.49176136363636364,0.061068702290076333,0.1
Right,random,Ang,HTL,PTT,0,0.05,1,1136,80,114,8,SDM-Ang-HS4,arc labels,,0.4179924242424242,0.04288939051918736,0.2375
Right,random,Ang,HTL,PTT,0,0.05,1,1136,80,114,8,SDM-Ang-HSsrc,arc labels,,0.5734848484848485,0.09601873536299765,0.5125
Right,random,Ang,HTL,PTT,0,0.05,1,1136,80,114,8,SDM-Ang-PCA,arc labels,64.0,0.4462121212121212,0.014084507042253521,0.025
Right,random,Ang,HTL,PTT,0,0.1,1,1136,80,227,11,NoAdapt,nothing,,0.4975378787878788,0.06451612903225806,0.05
Right,random,Ang,HTL,PTT,0,0.1,1,1136,80,227,11,TargetOnly,arc labels,,0.47159090909090906,0.06369426751592357,0.5
Right,random,Ang,HTL,PTT,0,0.1,1,1136,80,227,11,Source+Target,arc labels,,0.49820075757575755,0.05555555555555555,0.0125
Right,random,Ang,HTL,PTT,0,0.1,1,1136,80,227,11,COT,arc labels,,0.4817234848484849,0.06614173228346457,0.525
Right,random,Ang,HTL,PTT,0,0.1,1,1136,80,227,11,none-Ang-HS4,arc labels,,0.49640151515151515,0.05555555555555555,0.025
Right,random,Ang,HTL,PTT,0,0.1,1,1136,80,227,11,none-Ang-HSsrc,nothing,,0.49782196969696973,0.06060606060606061,0.025
Right,random,Ang,HTL,PTT,0,0.1,1,1136,80,227,11,none-Ang-PCA,arc segments,32.0,0.4486742424242424,0.019867549668874173,0.0375
Right,random,Ang,HTL,PTT,0,0.1,1,1136,80,227,11,QOTu-Ang-HS4,arc labels,,0.4838068181818182,0.04395604395604396,0.05
Right,random,Ang,HTL,PTT,0,0.1,1,1136,80,227,11,QOTu-Ang-HSsrc,arc segments,,0.47490530303030304,0.04032258064516129,0.0625
Right,random,Ang,HTL,PTT,0,0.1,1,1136,80,227,11,QOTu-Ang-PCA,arc segments,32.0,0.5364583333333333,0.11029411764705882,0.1875
Right,random,Ang,HTL,PTT,0,0.1,1,1136,80,227,11,QOTc-Ang-HS4,arc labels,,0.6686553030303031,0.23225806451612904,0.45
Right,random,Ang,HTL,PTT,0,0.1,1,1136,80,227,11,QOTc-Ang-HSsrc,arc labels,,0.5901515151515151,0.11044776119402985,0.4625
Right,random,Ang,HTL,PTT,0,0.1,1,1136,80,227,11,QOTc-Ang-PCA,arc labels,64.0,0.45009469696969695,0.02027027027027027,0.0375
Right,random,Ang,HTL,PTT,0,0.1,1,1136,80,227,11,SDM-Ang-HS4,arc labels,,0.42130681818181814,0.04357798165137615,0.2375
Right,random,Ang,HTL,PTT,0,0.1,1,1136,80,227,11,SDM-Ang-HSsrc,arc labels,,0.5796401515151515,0.09903381642512077,0.5125
Right,random,Ang,HTL,PTT,0,0.1,1,1136,80,227,11,SDM-Ang-PCA,arc labels,64.0,0.46202651515151516,0.029197080291970802,0.05
Right,random,Ang,HTL,PTT,0,0.2,1,1136,80,454,24,NoAdapt,nothing,,0.4975378787878788,0.06451612903225806,0.05
Right,random,Ang,HTL,PTT,0,0.2,1,1136,80,454,24,TargetOnly,arc labels,,0.5340909090909092,0.0847457627118644,0.375
Right,random,Ang,HTL,PTT,0,0.2,1,1136,80,454,24,Source+Target,arc labels,,0.496780303030303,0.047619047619047616,0.0125
Right,random,Ang,HTL,PTT,0,0.2,1,1136,80,454,24,COT,arc labels,,0.49952651515151514,0.070298769771529,0.5
