Enc,Side,Source,Target,Rot,AdaptFrac,kind,Method,BAC
Ang,Right,HTL,PTT,0,0.2,real,NoAdapt,0.4975378787878788
Ang,Right,HTL,PTT,0,0.2,real,TargetOnly,0.48077651515151515
Ang,Right,HTL,PTT,0,0.2,real,Source+Target,0.5214015151515151
Ang,Right,HTL,PTT,0,0.2,real,COT,0.4684659090909091
Ang,Right,HTL,PTT,0,0.2,real,none-Ang-HS4,0.4987689393939394
Ang,Right,HTL,PTT,0,0.2,real,none-Ang-HSsrc,0.49782196969696973
Ang,Right,HTL,PTT,0,0.2,real,none-Ang-PCA,0.4558712121212121
Ang,Right,HTL,PTT,0,0.2,real,QOTu-Ang-HS4,0.5661931818181818
Ang,Right,HTL,PTT,0,0.2,real,QOTu-Ang-HSsrc,0.5652462121212121
Ang,Right,HTL,PTT,0,0.2,real,QOTu-Ang-PCA,0.5605113636363637
Ang,Right,HTL,PTT,0,0.2,real,QOTc-Ang-HS4,0.5034090909090909
Ang,Right,HTL,PTT,0,0.2,real,QOTc-Ang-HSsrc,0.3910037878787879
Ang,Right,HTL,PTT,0,0.2,real,QOTc-Ang-PCA,0.5079545454545454
Ang,Right,HTL,PTT,0,0.2,real,SDM-Ang-HS4,0.5034090909090909
Ang,Right,HTL,PTT,0,0.2,real,SDM-Ang-HSsrc,0.3899621212121212
Ang,Right,HTL,PTT,0,0.2,real,SDM-Ang-PCA,0.4557765151515151
Ang,Right,HTL,PTT,0,0.2,real,COT-u,0.4850378787878788
Ang,Right,HTL,PTT,0,0.2,real,SDMu-HS4,0.47623106060606063
Ang,Right,HTL,PTT,0,0.2,real,SDMu-HSsrc,0.5695075757575757
Ang,Right,HTL,PTT,0,0.2,real,SDMu-PCA,0.49640151515151515
Ang,Right,HTL,PTT,0,0.2,srcperm,NoAdapt,0.46732954545454547
Ang,Right,HTL,PTT,0,0.2,srcperm,TargetOnly,0.48077651515151515
Ang,Right,HTL,PTT,0,0.2,srcperm,Source+Target,0.518560606060606
Ang,Right,HTL,PTT,0,0.2,srcperm,COT,0.4684659090909091
Ang,Right,HTL,PTT,0,0.2,srcperm,none-Ang-HS4,0.5748106060606061
Ang,Right,HTL,PTT,0,0.2,srcperm,none-Ang-HSsrc,0.5743371212121212
Ang,Right,HTL,PTT,0,0.2,srcperm,none-Ang-PCA,0.5833333333333333
Ang,Right,HTL,PTT,0,0.2,srcperm,QOTu-Ang-HS4,0.5831439393939394
Ang,Right,HTL,PTT,0,0.2,srcperm,QOTu-Ang-HSsrc,0.5836174242424242
Ang,Right,HTL,PTT,0,0.2,srcperm,QOTu-Ang-PCA,0.5443181818181818
Ang,Right,HTL,PTT,0,0.2,srcperm,QOTc-Ang-HS4,0.5053030303030303
Ang,Right,HTL,PTT,0,0.2,srcperm,QOTc-Ang-HSsrc,0.4941287878787879
Ang,Right,HTL,PTT,0,0.2,srcperm,QOTc-Ang-PCA,0.512689393939394
Ang,Right,HTL,PTT,0,0.2,srcperm,SDM-Ang-HS4,0.5034090909090909
Ang,Right,HTL,PTT,0,0.2,srcperm,SDM-Ang-HSsrc,0.49318181818181817
Ang,Right,HTL,PTT,0,0.2,srcperm,SDM-Ang-PCA,0.46553030303030307
Ang,Right,HTL,PTT,0,0.2,srcperm,COT-u,0.44270833333333337
Ang,Right,HTL,PTT,0,0.2,srcperm,SDMu-HS4,0.5350378787878788
Ang,Right,HTL,PTT,0,0.2,srcperm,SDMu-HSsrc,0.5733901515151515
Ang,Right,HTL,PTT,0,0.2,srcperm,SDMu-PCA,0.5337121212121212
Ang,Right,HTL,PTT,0,0.2,arcperm,NoAdapt,0.4975378787878788
Ang,Right,HTL,PTT,0,0.2,arcperm,TargetOnly,0.5549242424242424
Ang,Right,HTL,PTT,0,0.2,arcperm,Source+Target,0.5214015151515151
Ang,Right,HTL,PTT,0,0.2,arcperm,COT,0.5110795454545455
Ang,Right,HTL,PTT,0,0.2,arcperm,none-Ang-HS4,0.49924242424242427
Ang,Right,HTL,PTT,0,0.2,arcperm,none-Ang-HSsrc,0.49782196969696973
Ang,Right,HTL,PTT,0,0.2,arcperm,none-Ang-PCA,0.4558712121212121
Ang,Right,HTL,PTT,0,0.2,arcperm,QOTu-Ang-HS4,0.5666666666666667
Ang,Right,HTL,PTT,0,0.2,arcperm,QOTu-Ang-HSsrc,0.5652462121212121
