Enc,Side,Source,Target,Rot,AdaptFrac,ArcOK,knob,value,Method,BAC
Ang,Right,HTL,PTT,0,0.05,0,EPS,1e-12,QOTu-HSsrc,0.5492424242424243
Ang,Right,HTL,PTT,0,0.05,0,EPS,1e-12,QOTu-PCA,0.5657196969696969
Ang,Right,HTL,PTT,0,0.05,0,EPS,1e-12,none-HSsrc,0.49782196969696973
Ang,Right,HTL,PTT,0,0.05,0,EPS,1e-12,none-PCA,0.4675189393939394
Ang,Right,HTL,PTT,0,0.05,0,EPS,1e-10,QOTu-HSsrc,0.5492424242424243
Ang,Right,HTL,PTT,0,0.05,0,EPS,1e-10,QOTu-PCA,0.5657196969696969
Ang,Right,HTL,PTT,0,0.05,0,EPS,1e-10,none-HSsrc,0.49782196969696973
Ang,Right,HTL,PTT,0,0.05,0,EPS,1e-10,none-PCA,0.4675189393939394
Ang,Right,HTL,PTT,0,0.05,0,EPS,1e-09,QOTu-HSsrc,0.5492424242424243
Ang,Right,HTL,PTT,0,0.05,0,EPS,1e-09,QOTu-PCA,0.5657196969696969
Ang,Right,HTL,PTT,0,0.05,0,EPS,1e-09,none-HSsrc,0.49782196969696973
Ang,Right,HTL,PTT,0,0.05,0,EPS,1e-09,none-PCA,0.4675189393939394
Ang,Right,HTL,PTT,0,0.05,0,EPS,1e-08,QOTu-HSsrc,0.5492424242424243
Ang,Right,HTL,PTT,0,0.05,0,EPS,1e-08,QOTu-PCA,0.5692234848484848
Ang,Right,HTL,PTT,0,0.05,0,EPS,1e-08,none-HSsrc,0.49782196969696973
Ang,Right,HTL,PTT,0,0.05,0,EPS,1e-08,none-PCA,0.4675189393939394
Ang,Right,HTL,PTT,0,0.05,0,EPS,1e-06,QOTu-HSsrc,0.5492424242424243
Ang,Right,HTL,PTT,0,0.05,0,EPS,1e-06,QOTu-PCA,0.5676136363636364
Ang,Right,HTL,PTT,0,0.05,0,EPS,1e-06,none-HSsrc,0.49782196969696973
Ang,Right,HTL,PTT,0,0.05,0,EPS,1e-06,none-PCA,0.4675189393939394
Ang,Right,HTL,PTT,0,0.05,0,EPS,0.0001,QOTu-HSsrc,0.5487689393939394
Ang,Right,HTL,PTT,0,0.05,0,EPS,0.0001,QOTu-PCA,0.5475378787878789
Ang,Right,HTL,PTT,0,0.05,0,EPS,0.0001,none-HSsrc,0.49782196969696973
Ang,Right,HTL,PTT,0,0.05,0,EPS,0.0001,none-PCA,0.4675189393939394
Ang,Right,HTL,PTT,0,0.05,0,EPS,0.01,QOTu-HSsrc,0.5737689393939394
Ang,Right,HTL,PTT,0,0.05,0,EPS,0.01,QOTu-PCA,0.5775568181818183
Ang,Right,HTL,PTT,0,0.05,0,EPS,0.01,none-HSsrc,0.49782196969696973
Ang,Right,HTL,PTT,0,0.05,0,EPS,0.01,none-PCA,0.4675189393939394
Ang,Right,HTL,PTT,0,0.05,0,OTREG,0.001,COT-u,0.4953598484848485
Ang,Right,HTL,PTT,0,0.05,0,OTREG,0.001,SDMu-HSsrc,0.4784090909090909
Ang,Right,HTL,PTT,0,0.05,0,OTREG,0.001,SDMu-PCA,0.4745265151515151
Ang,Right,HTL,PTT,0,0.05,0,OTREG,0.005,COT-u,0.6271780303030303
Ang,Right,HTL,PTT,0,0.05,0,OTREG,0.005,SDMu-HSsrc,0.4681818181818182
Ang,Right,HTL,PTT,0,0.05,0,OTREG,0.005,SDMu-PCA,0.47026515151515147
Ang,Right,HTL,PTT,0,0.05,0,OTREG,0.01,COT-u,0.6175189393939393
Ang,Right,HTL,PTT,0,0.05,0,OTREG,0.01,SDMu-HSsrc,0.4525568181818182
Ang,Right,HTL,PTT,0,0.05,0,OTREG,0.01,SDMu-PCA,0.5002840909090909
Ang,Right,HTL,PTT,0,0.05,0,OTREG,0.05,COT-u,0.49375
Ang,Right,HTL,PTT,0,0.05,0,OTREG,0.05,SDMu-HSsrc,0.4746212121212121
Ang,Right,HTL,PTT,0,0.05,0,OTREG,0.05,SDMu-PCA,0.5695075757575758
Ang,Right,HTL,PTT,0,0.05,0,OTREG,0.1,COT-u,0.49375
Ang,Right,HTL,PTT,0,0.05,0,OTREG,0.1,SDMu-HSsrc,0.4784090909090909
Ang,Right,HTL,PTT,0,0.05,0,OTREG,0.1,SDMu-PCA,0.5232954545454546
Ang,Right,HTL,PTT,0,0.05,0,OTREG,0.5,COT-u,0.49327651515151516
Ang,Right,HTL,PTT,0,0.05,0,OTREG,0.5,SDMu-HSsrc,0.4765151515151515
Ang,Right,HTL,PTT,0,0.05,0,OTREG,0.5,SDMu-PCA,0.5355113636363636
