Enc,Side,Arc,Source,Target,Rot,AdaptFrac,nEval,nEvalPos,nArc,Method,Uses,BAC,Precision,Recall
Ang,Right,contig,HTL,PTT,0,0.05,1136,80,114,COT-u,arc segments,0.49375,0.06923076923076923,0.675
Ang,Right,contig,HTL,PTT,0,0.05,1136,80,114,SDMu-HSsrc,arc segments,0.4746212121212121,0.024390243902439025,0.025
Ang,Right,contig,HTL,PTT,0,0.05,1136,80,114,SDMu-PCA,arc segments,0.5695075757575758,0.08925318761384335,0.6125
Ang,Right,contig,HTL,PTT,0,0.1,1136,80,227,COT-u,arc segments,0.49715909090909094,0.0698856416772554,0.6875
Ang,Right,contig,HTL,PTT,0,0.1,1136,80,227,SDMu-HS4,arc labels,0.47623106060606063,0.037383177570093455,0.05
Ang,Right,contig,HTL,PTT,0,0.1,1136,80,227,SDMu-HSsrc,arc segments,0.47784090909090915,0.054187192118226604,0.1375
Ang,Right,contig,HTL,PTT,0,0.1,1136,80,227,SDMu-PCA,arc segments,0.4458333333333333,0.03508771929824561,0.1
Ang,Right,contig,HTL,PTT,0,0.2,1136,80,454,COT-u,arc segments,0.4850378787878788,0.06723891273247497,0.5875
Ang,Right,contig,HTL,PTT,0,0.2,1136,80,454,SDMu-HS4,arc labels,0.47623106060606063,0.037383177570093455,0.05
Ang,Right,contig,HTL,PTT,0,0.2,1136,80,454,SDMu-HSsrc,arc segments,0.5695075757575757,0.10119047619047619,0.425
Ang,Right,contig,HTL,PTT,0,0.2,1136,80,454,SDMu-PCA,arc segments,0.49640151515151515,0.06926406926406926,0.4
Ang,Right,contig,HTL,PTT,0,0.3,1136,80,682,COT-u,arc segments,0.5174242424242425,0.07733333333333334,0.3625
Ang,Right,contig,HTL,PTT,0,0.3,1136,80,682,SDMu-HS4,arc labels,0.45653409090909086,0.03389830508474576,0.075
Ang,Right,contig,HTL,PTT,0,0.3,1136,80,682,SDMu-HSsrc,arc segments,0.46950757575757573,0.0449438202247191,0.1
