Side,Arc,Source,Target,Rot,AdaptFrac,ArcOK,nEval,nEvalPos,nArc,nArcPos,Method,Uses,K,BAC,Precision,Recall
Left,contig,HTL,PTT,0,0.05,1,1136,85,114,5,NoAdapt,nothing,,0.47955448592377015,0.06528189910979229,0.25882352941176473
Left,contig,HTL,PTT,0,0.05,1,1136,85,114,5,TargetOnly,arc labels,,0.5525773772877371,0.08702064896755163,0.6941176470588235
Left,contig,HTL,PTT,0,0.05,1,1136,85,114,5,Source+Target,arc labels,,0.46497453405720046,0.05128205128205128,0.1411764705882353
Left,contig,HTL,PTT,0,0.05,1,1136,85,114,5,COT,arc labels,,0.47567582694352717,0.06940509915014165,0.5764705882352941
Left,contig,HTL,PTT,0,0.05,1,1136,85,114,5,none-HS4,arc labels,,0.43812055745228634,0.049479166666666664,0.2235294117647059
Left,contig,HTL,PTT,0,0.05,1,1136,85,114,5,none-HSsrc,nothing,,0.45502882408910283,0.05084745762711865,0.17647058823529413
Left,contig,HTL,PTT,0,0.05,1,1136,85,114,5,none-PCA,arc segments,16.0,0.44811663961493253,0.058823529411764705,0.35294117647058826
Left,contig,HTL,PTT,0,0.05,1,1136,85,114,5,QOTu-HS4,arc labels,,0.43920076117982876,0.04788732394366197,0.2
Left,contig,HTL,PTT,0,0.05,1,1136,85,114,5,QOTu-HSsrc,arc segments,,0.4505289080427604,0.043824701195219126,0.12941176470588237
Left,contig,HTL,PTT,0,0.05,1,1136,85,114,5,QOTu-PCA,arc segments,64.0,0.4592712822521968,0.058524173027989825,0.27058823529411763
Left,contig,HTL,PTT,0,0.05,1,1136,85,114,5,QOTc-HS4,arc labels,,0.4284770806514804,0.048723897911832945,0.24705882352941178
Left,contig,HTL,PTT,0,0.05,1,1136,85,114,5,QOTc-HSsrc,arc labels,,0.4739295908658421,0.06028368794326241,0.2
Left,contig,HTL,PTT,0,0.05,1,1136,85,114,5,QOTc-PCA,arc labels,64.0,0.47997985112218056,0.053691275167785234,0.09411764705882353
Left,contig,HTL,PTT,0,0.05,1,1136,85,114,5,SDM-HS4,arc labels,,0.47976716852297535,0.06172839506172839,0.17647058823529413
Left,contig,HTL,PTT,0,0.05,1,1136,85,114,5,SDM-HSsrc,arc labels,,0.4831421055577321,0.06521739130434782,0.21176470588235294
Left,contig,HTL,PTT,0,0.05,1,1136,85,114,5,SDM-PCA,arc labels,32.0,0.47718699277998544,0.06918238993710692,0.5176470588235295
Left,contig,HTL,PTT,0,0.1,1,1136,85,227,7,NoAdapt,nothing,,0.47955448592377015,0.06528189910979229,0.25882352941176473
Left,contig,HTL,PTT,0,0.1,1,1136,85,227,7,TargetOnly,arc labels,,0.5465271170313987,0.08384710234278668,0.8
