Side,Arc,Source,Target,Rot,AdaptFrac,ArcOK,nEval,nEvalPos,nArc,nArcPos,Method,Uses,K,BAC,Precision,Recall
Left,random,HTL,PTT,0,0.05,1,1136,85,114,6,NoAdapt,nothing,,0.47955448592377015,0.06528189910979229,0.25882352941176473
Left,random,HTL,PTT,0,0.05,1,1136,85,114,6,TargetOnly,arc labels,,0.44530139363071586,0.05378973105134474,0.25882352941176473
Left,random,HTL,PTT,0,0.05,1,1136,85,114,6,Source+Target,arc labels,,0.45861644372306487,0.04700854700854701,0.12941176470588237
Left,random,HTL,PTT,0,0.05,1,1136,85,114,6,COT,arc labels,,0.4498013096770583,0.05739514348785872,0.3058823529411765
Left,random,HTL,PTT,0,0.05,1,1136,85,114,6,none-HS4,arc labels,,0.4603123076062014,0.06157112526539278,0.3411764705882353
Left,random,HTL,PTT,0,0.05,1,1136,85,114,6,none-HSsrc,nothing,,0.45502882408910283,0.05084745762711865,0.17647058823529413
Left,random,HTL,PTT,0,0.05,1,1136,85,114,6,none-PCA,arc segments,16.0,0.45097106397268705,0.05952380952380952,0.35294117647058826
Left,random,HTL,PTT,0,0.05,1,1136,85,114,6,QOTu-HS4,arc labels,,0.446336822074215,0.05,0.2
Left,random,HTL,PTT,0,0.05,1,1136,85,114,6,QOTu-HSsrc,arc segments,,0.44421559299266805,0.044673539518900345,0.15294117647058825
Left,random,HTL,PTT,0,0.05,1,1136,85,114,6,QOTu-PCA,arc segments,16.0,0.43539486203615607,0.046831955922865015,0.2
Left,random,HTL,PTT,0,0.05,1,1136,85,114,6,QOTc-HS4,arc labels,,0.44862595847092407,0.043137254901960784,0.12941176470588237
Left,random,HTL,PTT,0,0.05,1,1136,85,114,6,QOTc-HSsrc,arc labels,,0.490104662226451,0.06854838709677419,0.2
Left,random,HTL,PTT,0,0.05,1,1136,85,114,6,QOTc-PCA,arc labels,64.0,0.47310684502154815,0.058365758754863814,0.17647058823529413
Left,random,HTL,PTT,0,0.05,1,1136,85,114,6,SDM-HS4,arc labels,,0.45040017910113617,0.046762589928057555,0.15294117647058825
Left,random,HTL,PTT,0,0.05,1,1136,85,114,6,SDM-HSsrc,arc labels,,0.4909274080707449,0.0695970695970696,0.2235294117647059
Left,random,HTL,PTT,0,0.05,1,1136,85,114,6,SDM-PCA,arc labels,16.0,0.4965579000391784,0.07368421052631578,0.4117647058823529
Left,random,HTL,PTT,0,0.1,1,1136,85,227,8,NoAdapt,nothing,,0.47955448592377015,0.06528189910979229,0.25882352941176473
Left,random,HTL,PTT,0,0.1,1,1136,85,227,8,TargetOnly,arc labels,,0.45853249006548386,0.053156146179401995,0.18823529411764706
