Side,Arc,Source,Target,Rot,AdaptFrac,ArcOK,nEval,nEvalPos,nArc,nArcPos,Method,Uses,K,BAC,Precision,Recall
Right,contig,HTL,PTT,0,0.05,0,1136,80,114,1,NoAdapt,nothing,,0.4975378787878788,0.06451612903225806,0.05
Right,contig,HTL,PTT,0,0.05,0,1136,80,114,1,TargetOnly,arc labels,,,,
Right,contig,HTL,PTT,0,0.05,0,1136,80,114,1,Source+Target,arc labels,,,,
Right,contig,HTL,PTT,0,0.05,0,1136,80,114,1,COT,arc labels,,,,
Right,contig,HTL,PTT,0,0.05,0,1136,80,114,1,none-HS4,arc labels,,,,
Right,contig,HTL,PTT,0,0.05,0,1136,80,114,1,none-HSsrc,nothing,,0.4935606060606061,0.047619047619047616,0.025
Right,contig,HTL,PTT,0,0.05,0,1136,80,114,1,none-PCA,arc segments,32.0,0.5224431818181818,0.08035714285714286,0.3375
Right,contig,HTL,PTT,0,0.05,0,1136,80,114,1,QOTu-HS4,arc labels,,,,
Right,contig,HTL,PTT,0,0.05,0,1136,80,114,1,QOTu-HSsrc,arc segments,,0.4964962121212121,0.06844106463878327,0.225
Right,contig,HTL,PTT,0,0.05,0,1136,80,114,1,QOTu-PCA,arc segments,32.0,0.5853219696969697,0.0910569105691057,0.7
Right,contig,HTL,PTT,0,0.05,0,1136,80,114,1,QOTc-HS4,arc labels,,,,
Right,contig,HTL,PTT,0,0.05,0,1136,80,114,1,QOTc-HSsrc,arc labels,,,,
Right,contig,HTL,PTT,0,0.05,0,1136,80,114,1,QOTc-PCA,arc labels,,,,
Right,contig,HTL,PTT,0,0.05,0,1136,80,114,1,SDM-HS4,arc labels,,,,
Right,contig,HTL,PTT,0,0.05,0,1136,80,114,1,SDM-HSsrc,arc labels,,,,
Right,contig,HTL,PTT,0,0.05,0,1136,80,114,1,SDM-PCA,arc labels,,,,
Right,contig,HTL,PTT,0,0.1,1,1136,80,227,2,NoAdapt,nothing,,0.4975378787878788,0.06451612903225806,0.05
Right,contig,HTL,PTT,0,0.1,1,1136,80,227,2,TargetOnly,arc labels,,0.4793560606060606,0.027777777777777776,0.025
Right,contig,HTL,PTT,0,0.1,1,1136,80,227,2,Source+Target,arc labels,,0.4934659090909091,0.03571428571428571,0.0125
Right,contig,HTL,PTT,0,0.1,1,1136,80,227,2,COT,arc labels,,0.48598484848484846,0.06743185078909612,0.5875
Right,contig,HTL,PTT,0,0.1,1,1136,80,227,2,none-HS4,arc labels,,0.4897727272727273,0.04,0.025
Right,contig,HTL,PTT,0,0.1,1,1136,80,227,2,none-HSsrc,nothing,,0.4935606060606061,0.047619047619047616,0.025
Right,contig,HTL,PTT,0,0.1,1,1136,80,227,2,none-PCA,arc segments,32.0,0.5224431818181818,0.08035714285714286,0.3375
Right,contig,HTL,PTT,0,0.1,1,1136,80,227,2,QOTu-HS4,arc labels,,0.6268939393939394,0.12129380053908356,0.5625
Right,contig,HTL,PTT,0,0.1,1,1136,80,227,2,QOTu-HSsrc,arc segments,,0.5019886363636363,0.07174887892376682,0.2
Right,contig,HTL,PTT,0,0.1,1,1136,80,227,2,QOTu-PCA,arc segments,32.0,0.6056818181818182,0.10179640718562874,0.6375
Right,contig,HTL,PTT,0,0.1,1,1136,80,227,2,QOTc-HS4,arc labels,,0.47215909090909086,0.0136986301369863,0.0125
Right,contig,HTL,PTT,0,0.1,1,1136,80,227,2,QOTc-HSsrc,arc labels,,0.47632575757575757,0.06398537477148081,0.4375
Right,contig,HTL,PTT,0,0.1,1,1136,80,227,2,QOTc-PCA,arc labels,64.0,0.4903409090909091,0.047619047619047616,0.0375
Right,contig,HTL,PTT,0,0.1,1,1136,80,227,2,SDM-HS4,arc labels,,0.49053030303030304,0.0,0.0
Right,contig,HTL,PTT,0,0.1,1,1136,80,227,2,SDM-HSsrc,arc labels,,0.47433712121212124,0.0633147113594041,0.425
Right,contig,HTL,PTT,0,0.1,1,1136,80,227,2,SDM-PCA,arc labels,16.0,0.43929924242424245,0.021621621621621623,0.05
Right,contig,HTL,PTT,0,0.2,1,1136,80,454,2,NoAdapt,nothing,,0.4975378787878788,0.06451612903225806,0.05
Right,contig,HTL,PTT,0,0.2,1,1136,80,454,2,TargetOnly,arc labels,,0.48077651515151515,0.028985507246376812,0.025
Right,contig,HTL,PTT,0,0.2,1,1136,80,454,2,Source+Target,arc labels,,0.5214015151515151,0.15,0.075
Right,contig,HTL,PTT,0,0.2,1,1136,80,454,2,COT,arc labels,,0.4684659090909091,0.021052631578947368,0.025
Right,contig,HTL,PTT,0,0.2,1,1136,80,454,2,none-HS4,arc labels,,0.4955492424242424,0.057692307692307696,0.0375
Right,contig,HTL,PTT,0,0.2,1,1136,80,454,2,none-HSsrc,nothing,,0.4935606060606061,0.047619047619047616,0.025
Right,contig,HTL,PTT,0,0.2,1,1136,80,454,2,none-PCA,arc segments,32.0,0.5319128787878789,0.08544303797468354,0.3375
Right,contig,HTL,PTT,0,0.2,1,1136,80,454,2,QOTu-HS4,arc labels,,0.634090909090909,0.11564625850340136,0.6375
Right,contig,HTL,PTT,0,0.2,1,1136,80,454,2,QOTu-HSsrc,arc segments,,0.5019886363636363,0.07174887892376682,0.2
Right,contig,HTL,PTT,0,0.2,1,1136,80,454,2,QOTu-PCA,arc segments,32.0,0.5928030303030303,0.09727626459143969,0.625
Right,contig,HTL,PTT,0,0.2,1,1136,80,454,2,QOTc-HS4,arc labels,,0.47215909090909086,0.0136986301369863,0.0125
Right,contig,HTL,PTT,0,0.2,1,1136,80,454,2,QOTc-HSsrc,arc labels,,0.47632575757575757,0.06398537477148081,0.4375
Right,contig,HTL,PTT,0,0.2,1,1136,80,454,2,QOTc-PCA,arc labels,32.0,0.5076704545454546,0.08695652173913043,0.075
Right,contig,HTL,PTT,0,0.2,1,1136,80,454,2,SDM-HS4,arc labels,,0.5043560606060606,0.2,0.0125
