Side,Arc,Source,Target,Rot,AdaptFrac,ArcOK,nEval,nEvalPos,nArc,nArcPos,Method,Uses,K,BAC,Precision,Recall
Right,random,HTL,PTT,0,0.05,1,1136,80,114,8,NoAdapt,nothing,,0.4975378787878788,0.06451612903225806,0.05
Right,random,HTL,PTT,0,0.05,1,1136,80,114,8,TargetOnly,arc labels,,0.4701704545454546,0.06339144215530904,0.5
Right,random,HTL,PTT,0,0.05,1,1136,80,114,8,Source+Target,arc labels,,0.49109848484848484,0.030303030303030304,0.0125
Right,random,HTL,PTT,0,0.05,1,1136,80,114,8,COT,arc labels,,0.46107954545454544,0.06223479490806223,0.55
Right,random,HTL,PTT,0,0.05,1,1136,80,114,8,none-HS4,arc labels,,0.5009469696969697,0.07246376811594203,0.0625
Right,random,HTL,PTT,0,0.05,1,1136,80,114,8,none-HSsrc,nothing,,0.4935606060606061,0.047619047619047616,0.025
Right,random,HTL,PTT,0,0.05,1,1136,80,114,8,none-PCA,arc segments,32.0,0.5127840909090908,0.07621951219512195,0.3125
Right,random,HTL,PTT,0,0.05,1,1136,80,114,8,QOTu-HS4,arc labels,,0.49820075757575755,0.06741573033707865,0.075
Right,random,HTL,PTT,0,0.05,1,1136,80,114,8,QOTu-HSsrc,arc segments,,0.4910037878787879,0.05555555555555555,0.0625
Right,random,HTL,PTT,0,0.05,1,1136,80,114,8,QOTu-PCA,arc segments,32.0,0.4888257575757576,0.056910569105691054,0.0875
Right,random,HTL,PTT,0,0.05,1,1136,80,114,8,QOTc-HS4,arc labels,,0.6438446969696969,0.1104868913857678,0.7375
Right,random,HTL,PTT,0,0.05,1,1136,80,114,8,QOTc-HSsrc,arc labels,,0.4589962121212121,0.04669260700389105,0.15
Right,random,HTL,PTT,0,0.05,1,1136,80,114,8,QOTc-PCA,arc labels,64.0,0.4864583333333333,0.06451612903225806,0.275
Right,random,HTL,PTT,0,0.05,1,1136,80,114,8,SDM-HS4,arc labels,,0.5774621212121211,0.08478802992518704,0.85
Right,random,HTL,PTT,0,0.05,1,1136,80,114,8,SDM-HSsrc,arc labels,,0.4884469696969697,0.06552706552706553,0.2875
Right,random,HTL,PTT,0,0.05,1,1136,80,114,8,SDM-PCA,arc labels,16.0,0.48030303030303034,0.06629055007052186,0.5875
Right,random,HTL,PTT,0,0.1,1,1136,80,227,11,NoAdapt,nothing,,0.4975378787878788,0.06451612903225806,0.05
Right,random,HTL,PTT,0,0.1,1,1136,80,227,11,TargetOnly,arc labels,,0.47159090909090906,0.06369426751592357,0.5
Right,random,HTL,PTT,0,0.1,1,1136,80,227,11,Source+Target,arc labels,,0.49820075757575755,0.05555555555555555,0.0125
Right,random,HTL,PTT,0,0.1,1,1136,80,227,11,COT,arc labels,,0.4817234848484849,0.06614173228346457,0.525
Right,random,HTL,PTT,0,0.1,1,1136,80,227,11,none-HS4,arc labels,,0.5004734848484849,0.07142857142857142,0.0625
Right,random,HTL,PTT,0,0.1,1,1136,80,227,11,none-HSsrc,nothing,,0.4935606060606061,0.047619047619047616,0.025
Right,random,HTL,PTT,0,0.1,1,1136,80,227,11,none-PCA,arc segments,32.0,0.5127840909090908,0.07621951219512195,0.3125
Right,random,HTL,PTT,0,0.1,1,1136,80,227,11,QOTu-HS4,arc labels,,0.4977272727272727,0.06666666666666667,0.075
Right,random,HTL,PTT,0,0.1,1,1136,80,227,11,QOTu-HSsrc,arc segments,,0.496780303030303,0.06521739130434782,0.075
Right,random,HTL,PTT,0,0.1,1,1136,80,227,11,QOTu-PCA,arc segments,32.0,0.4956439393939394,0.06569343065693431,0.1125
Right,random,HTL,PTT,0,0.1,1,1136,80,227,11,QOTc-HS4,arc labels,,0.6549242424242424,0.1411042944785276,0.575
Right,random,HTL,PTT,0,0.1,1,1136,80,227,11,QOTc-HSsrc,arc labels,,0.4484848484848485,0.030927835051546393,0.075
Right,random,HTL,PTT,0,0.1,1,1136,80,227,11,QOTc-PCA,arc labels,64.0,0.4590909090909091,0.04797047970479705,0.1625
Right,random,HTL,PTT,0,0.1,1,1136,80,227,11,SDM-HS4,arc labels,,0.6046401515151515,0.09508716323296355,0.75
Right,random,HTL,PTT,0,0.1,1,1136,80,227,11,SDM-HSsrc,arc labels,,0.4623106060606061,0.0529595015576324,0.2125
Right,random,HTL,PTT,0,0.1,1,1136,80,227,11,SDM-PCA,arc labels,32.0,0.40984848484848485,0.047619047619047616,0.35
Right,random,HTL,PTT,0,0.2,1,1136,80,454,24,NoAdapt,nothing,,0.4975378787878788,0.06451612903225806,0.05
Right,random,HTL,PTT,0,0.2,1,1136,80,454,24,TargetOnly,arc labels,,0.5340909090909092,0.0847457627118644,0.375
Right,random,HTL,PTT,0,0.2,1,1136,80,454,24,Source+Target,arc labels,,0.496780303030303,0.047619047619047616,0.0125
Right,random,HTL,PTT,0,0.2,1,1136,80,454,24,COT,arc labels,,0.49952651515151514,0.070298769771529,0.5
Right,random,HTL,PTT,0,0.2,1,1136,80,454,24,none-HS4,arc labels,,0.5023674242424243,0.07575757575757576,0.0625
Right,random,HTL,PTT,0,0.2,1,1136,80,454,24,none-HSsrc,nothing,,0.4935606060606061,0.047619047619047616,0.025
Right,random,HTL,PTT,0,0.2,1,1136,80,454,24,none-PCA,arc segments,64.0,0.5196022727272727,0.07894736842105263,0.3375
Right,random,HTL,PTT,0,0.2,1,1136,80,454,24,QOTu-HS4,arc labels,,0.49820075757575755,0.06741573033707865,0.075
Right,random,HTL,PTT,0,0.2,1,1136,80,454,24,QOTu-HSsrc,arc segments,,0.4952651515151515,0.06172839506172839,0.0625
Right,random,HTL,PTT,0,0.2,1,1136,80,454,24,QOTu-PCA,arc segments,32.0,0.4955492424242424,0.06504065040650407,0.1
Right,random,HTL,PTT,0,0.2,1,1136,80,454,24,QOTc-HS4,arc labels,,0.6252840909090909,0.21052631578947367,0.35
Right,random,HTL,PTT,0,0.2,1,1136,80,454,24,QOTc-HSsrc,arc labels,,0.45549242424242425,0.030303030303030304,0.0625
Right,random,HTL,PTT,0,0.2,1,1136,80,454,24,QOTc-PCA,arc labels,64.0,0.4979166666666667,0.06923076923076923,0.225
Right,random,HTL,PTT,0,0.2,1,1136,80,454,24,SDM-HS4,arc labels,,0.6130681818181818,0.12380952380952381,0.4875
Right,random,HTL,PTT,0,0.2,1,1136,80,454,24,SDM-HSsrc,arc labels,,0.4506628787878788,0.0462046204620462,0.175
Right,random,HTL,PTT,0,0.2,1,1136,80,454,24,SDM-PCA,arc labels,32.0,0.39734848484848484,0.04436860068259386,0.325
Right,random,HTL,PTT,0,0.3,1,1136,80,682,30,NoAdapt,nothing,,0.4975378787878788,0.06451612903225806,0.05
Right,random,HTL,PTT,0,0.3,1,1136,80,682,30,TargetOnly,arc labels,,0.5074810606060606,0.07650273224043716,0.175
Right,random,HTL,PTT,0,0.3,1,1136,80,682,30,Source+Target,arc labels,,0.5020833333333333,0.08333333333333333,0.025
Right,random,HTL,PTT,0,0.3,1,1136,80,682,30,COT,arc labels,,0.4746212121212121,0.0651872399445215,0.5875
Right,random,HTL,PTT,0,0.3,1,1136,80,682,30,none-HS4,arc labels,,0.5087121212121212,0.08641975308641975,0.0875
Right,random,HTL,PTT,0,0.3,1,1136,80,682,30,none-HSsrc,nothing,,0.4935606060606061,0.047619047619047616,0.025
Right,random,HTL,PTT,0,0.3,1,1136,80,682,30,none-PCA,arc segments,64.0,0.5196022727272727,0.07894736842105263,0.3375
Right,random,HTL,PTT,0,0.3,1,1136,80,682,30,QOTu-HS4,arc labels,,0.5015151515151515,0.07317073170731707,0.075
Right,random,HTL,PTT,0,0.3,1,1136,80,682,30,QOTu-HSsrc,arc segments,,0.4952651515151515,0.06172839506172839,0.0625
Right,random,HTL,PTT,0,0.3,1,1136,80,682,30,QOTu-PCA,arc segments,32.0,0.49507575757575756,0.06451612903225806,0.1
Right,random,HTL,PTT,0,0.3,1,1136,80,682,30,QOTc-HS4,arc labels,,0.546780303030303,0.14,0.175
Right,random,HTL,PTT,0,0.3,1,1136,80,682,30,QOTc-HSsrc,arc labels,,0.4837121212121212,0.03896103896103896,0.0375
Right,random,HTL,PTT,0,0.3,1,1136,80,682,30,QOTc-PCA,arc labels,64.0,0.4974431818181818,0.06896551724137931,0.225
Right,random,HTL,PTT,0,0.3,1,1136,80,682,30,SDM-HS4,arc labels,,0.5222537878787878,0.08116883116883117,0.3125
Right,random,HTL,PTT,0,0.3,1,1136,80,682,30,SDM-HSsrc,arc labels,,0.45928030303030304,0.05016722408026756,0.1875
Right,random,HTL,PTT,0,0.3,1,1136,80,682,30,SDM-PCA,arc labels,32.0,0.4028409090909091,0.04,0.2375
Right,random,HTL,PTT,0,0.5,1,1136,80,1124,41,NoAdapt,nothing,,0.4975378787878788,0.06451612903225806,0.05
Right,random,HTL,PTT,0,0.5,1,1136,80,1124,41,TargetOnly,arc labels,,0.5306818181818181,0.1044776119402985,0.175
Right,random,HTL,PTT,0,0.5,1,1136,80,1124,41,Source+Target,arc labels,,0.5060606060606061,0.09090909090909091,0.05
Right,random,HTL,PTT,0,0.5,1,1136,80,1124,41,COT,arc labels,,0.471969696969697,0.06432748538011696,0.55
Right,random,HTL,PTT,0,0.5,1,1136,80,1124,41,none-HS4,arc labels,,0.5102272727272728,0.08695652173913043,0.1
Right,random,HTL,PTT,0,0.5,1,1136,80,1124,41,none-HSsrc,nothing,,0.4935606060606061,0.047619047619047616,0.025
Right,random,HTL,PTT,0,0.5,1,1136,80,1124,41,none-PCA,arc segments,32.0,0.5196022727272727,0.07894736842105263,0.3375
Right,random,HTL,PTT,0,0.5,1,1136,80,1124,41,QOTu-HS4,arc labels,,0.5015151515151515,0.07317073170731707,0.075
Right,random,HTL,PTT,0,0.5,1,1136,80,1124,41,QOTu-HSsrc,arc segments,,0.4952651515151515,0.06172839506172839,0.0625
Right,random,HTL,PTT,0,0.5,1,1136,80,1124,41,QOTu-PCA,arc segments,32.0,0.4946022727272727,0.064,0.1
Right,random,HTL,PTT,0,0.5,1,1136,80,1124,41,QOTc-HS4,arc labels,,0.6309659090909091,0.23140495867768596,0.35
Right,random,HTL,PTT,0,0.5,1,1136,80,1124,41,QOTc-HSsrc,arc labels,,0.48323863636363634,0.038461538461538464,0.0375
Right,random,HTL,PTT,0,0.5,1,1136,80,1124,41,QOTc-PCA,arc labels,64.0,0.4884469696969697,0.06428571428571428,0.225
Right,random,HTL,PTT,0,0.5,1,1136,80,1124,41,SDM-HS4,arc labels,,0.5154356060606061,0.08071748878923767,0.225
Right,random,HTL,PTT,0,0.5,1,1136,80,1124,41,SDM-HSsrc,arc labels,,0.4595643939393939,0.04814814814814815,0.1625
Right,random,HTL,PTT,0,0.5,1,1136,80,1124,41,SDM-PCA,arc labels,32.0,0.43693181818181814,0.04714640198511166,0.2375
Right,random,HTL,PTT,1,0.05,1,1136,67,114,5,NoAdapt,nothing,,0.5045934965025202,0.06896551724137931,0.05970149253731343
Right,random,HTL,PTT,1,0.05,1,1136,67,114,5,TargetOnly,arc labels,,0.5610209011071863,0.1643835616438356,0.1791044776119403
Right,random,HTL,PTT,1,0.05,1,1136,67,114,5,Source+Target,arc labels,,0.495769515379138,0.038461538461538464,0.014925373134328358
Right,random,HTL,PTT,1,0.05,1,1136,67,114,5,COT,arc labels,,0.5298577272663809,0.06896551724137931,0.3880597014925373
Right,random,HTL,PTT,1,0.05,1,1136,67,114,5,none-HS4,arc labels,,0.5106530025271212,0.08064516129032258,0.07462686567164178
Right,random,HTL,PTT,1,0.05,1,1136,67,114,5,none-HSsrc,nothing,,0.49808720662357064,0.05263157894736842,0.029850746268656716
Right,random,HTL,PTT,1,0.05,1,1136,67,114,5,none-PCA,arc segments,64.0,0.5101922566773244,0.06192660550458716,0.40298507462686567
Right,random,HTL,PTT,1,0.05,1,1136,67,114,5,QOTu-HS4,arc labels,,0.5190092568029823,0.08421052631578947,0.11940298507462686
Right,random,HTL,PTT,1,0.05,1,1136,67,114,5,QOTu-HSsrc,arc segments,,0.5045516105161749,0.06521739130434782,0.08955223880597014
Right,random,HTL,PTT,1,0.05,1,1136,67,114,5,QOTu-PCA,arc segments,32.0,0.4998115130614468,0.058823529411764705,0.13432835820895522
Right,random,HTL,PTT,1,0.05,1,1136,67,114,5,QOTc-HS4,arc labels,,0.5428633260265557,0.18181818181818182,0.11940298507462686
Right,random,HTL,PTT,1,0.05,1,1136,67,114,5,QOTc-HSsrc,arc labels,,0.4648157714700585,0.03125,0.07462686567164178
Right,random,HTL,PTT,1,0.05,1,1136,67,114,5,QOTc-PCA,arc labels,64.0,0.5377183307038241,0.14545454545454545,0.11940298507462686
Right,random,HTL,PTT,1,0.05,1,1136,67,114,5,SDM-HS4,arc labels,,0.47085433450148695,0.03867403314917127,0.1044776119402985
Right,random,HTL,PTT,1,0.05,1,1136,67,114,5,SDM-HSsrc,arc labels,,0.4386021250157073,0.02575107296137339,0.08955223880597014
Right,random,HTL,PTT,1,0.05,1,1136,67,114,5,SDM-PCA,arc labels,16.0,0.6204082487469109,0.10416666666666667,0.5223880597014925
Right,random,HTL,PTT,1,0.1,1,1136,67,227,10,NoAdapt,nothing,,0.5045934965025202,0.06896551724137931,0.05970149253731343
Right,random,HTL,PTT,1,0.1,1,1136,67,227,10,TargetOnly,arc labels,,0.5208173352135487,0.07746478873239436,0.16417910447761194
Right,random,HTL,PTT,1,0.1,1,1136,67,227,10,Source+Target,arc labels,,0.49717269592170116,0.043478260869565216,0.014925373134328358
Right,random,HTL,PTT,1,0.1,1,1136,67,227,10,COT,arc labels,,0.4545327618223196,0.04864864864864865,0.40298507462686567
Right,random,HTL,PTT,1,0.1,1,1136,67,227,10,none-HS4,arc labels,,0.5101852756796001,0.07936507936507936,0.07462686567164178
Right,random,HTL,PTT,1,0.1,1,1136,67,227,10,none-HSsrc,nothing,,0.49808720662357064,0.05263157894736842,0.029850746268656716
Right,random,HTL,PTT,1,0.1,1,1136,67,227,10,none-PCA,arc segments,64.0,0.5101922566773244,0.06192660550458716,0.40298507462686567
Right,random,HTL,PTT,1,0.1,1,1136,67,227,10,QOTu-HS4,arc labels,,0.5171174064197255,0.07758620689655173,0.13432835820895522
Right,random,HTL,PTT,1,0.1,1,1136,67,227,10,QOTu-HSsrc,arc segments,,0.5040838836686539,0.06451612903225806,0.08955223880597014
Right,random,HTL,PTT,1,0.1,1,1136,67,227,10,QOTu-PCA,arc segments,32.0,0.5072532566354383,0.06432748538011696,0.16417910447761194
Right,random,HTL,PTT,1,0.1,1,1136,67,227,10,QOTc-HS4,arc labels,,0.5278122949331918,0.08333333333333333,0.1791044776119403
Right,random,HTL,PTT,1,0.1,1,1136,67,227,10,QOTc-HSsrc,arc labels,,0.46154168353741115,0.029940119760479042,0.07462686567164178
Right,random,HTL,PTT,1,0.1,1,1136,67,227,10,QOTc-PCA,arc labels,64.0,0.4834829593845552,0.045454545454545456,0.1044776119402985
Right,random,HTL,PTT,1,0.1,1,1136,67,227,10,SDM-HS4,arc labels,,0.48742024210100104,0.0546448087431694,0.29850746268656714
Right,random,HTL,PTT,1,0.1,1,1136,67,227,10,SDM-HSsrc,arc labels,,0.441855269955182,0.02880658436213992,0.1044776119402985
Right,random,HTL,PTT,1,0.1,1,1136,67,227,10,SDM-PCA,arc labels,16.0,0.42767686357734247,0.03571428571428571,0.208955223880597
Right,random,HTL,PTT,1,0.2,1,1136,67,454,15,NoAdapt,nothing,,0.5045934965025202,0.06896551724137931,0.05970149253731343
Right,random,HTL,PTT,1,0.2,1,1136,67,454,15,TargetOnly,arc labels,,0.5278960669058822,0.10526315789473684,0.11940298507462686
Right,random,HTL,PTT,1,0.2,1,1136,67,454,15,Source+Target,arc labels,,0.49997905700682743,0.058823529411764705,0.014925373134328358
Right,random,HTL,PTT,1,0.2,1,1136,67,454,15,COT,arc labels,,0.44732837217095067,0.04979253112033195,0.5373134328358209
Right,random,HTL,PTT,1,0.2,1,1136,67,454,15,none-HS4,arc labels,,0.5232397414238443,0.10144927536231885,0.1044776119402985
Right,random,HTL,PTT,1,0.2,1,1136,67,454,15,none-HSsrc,nothing,,0.49808720662357064,0.05263157894736842,0.029850746268656716
Right,random,HTL,PTT,1,0.2,1,1136,67,454,15,none-PCA,arc segments,64.0,0.5101922566773244,0.06192660550458716,0.40298507462686567
Right,random,HTL,PTT,1,0.2,1,1136,67,454,15,QOTu-HS4,arc labels,,0.5311073258590118,0.09166666666666666,0.16417910447761194
Right,random,HTL,PTT,1,0.2,1,1136,67,454,15,QOTu-HSsrc,arc segments,,0.5036161568211329,0.06382978723404255,0.08955223880597014
Right,random,HTL,PTT,1,0.2,1,1136,67,454,15,QOTu-PCA,arc segments,32.0,0.5086564371780015,0.06547619047619048,0.16417910447761194
Right,random,HTL,PTT,1,0.2,1,1136,67,454,15,QOTc-HS4,arc labels,,0.5310863828658392,0.08759124087591241,0.1791044776119403
Right,random,HTL,PTT,1,0.2,1,1136,67,454,15,QOTc-HSsrc,arc labels,,0.4638803177750164,0.030864197530864196,0.07462686567164178
Right,random,HTL,PTT,1,0.2,1,1136,67,454,15,QOTc-PCA,arc labels,64.0,0.5162447817042012,0.08955223880597014,0.08955223880597014
Right,random,HTL,PTT,1,0.2,1,1136,67,454,15,SDM-HS4,arc labels,,0.4738771065160633,0.05026455026455026,0.2835820895522388
Right,random,HTL,PTT,1,0.2,1,1136,67,454,15,SDM-HSsrc,arc labels,,0.4460648115828714,0.029914529914529916,0.1044776119402985
