Enc,Side,Source,Target,Rot,AdaptFrac,kind,Method,BAC
Amp,Right,HTL,PTT,0,0.2,real,NoAdapt,0.4975378787878788
Amp,Right,HTL,PTT,0,0.2,real,TargetOnly,0.48077651515151515
Amp,Right,HTL,PTT,0,0.2,real,Source+Target,0.5214015151515151
Amp,Right,HTL,PTT,0,0.2,real,COT,0.4684659090909091
Amp,Right,HTL,PTT,0,0.2,real,none-HS4,0.4955492424242424
Amp,Right,HTL,PTT,0,0.2,real,none-HSsrc,0.4935606060606061
Amp,Right,HTL,PTT,0,0.2,real,none-PCA,0.5319128787878789
Amp,Right,HTL,PTT,0,0.2,real,QOTu-HS4,0.634090909090909
Amp,Right,HTL,PTT,0,0.2,real,QOTu-HSsrc,0.5019886363636363
Amp,Right,HTL,PTT,0,0.2,real,QOTu-PCA,0.5928030303030303
Amp,Right,HTL,PTT,0,0.2,real,QOTc-HS4,0.47215909090909086
Amp,Right,HTL,PTT,0,0.2,real,QOTc-HSsrc,0.47632575757575757
Amp,Right,HTL,PTT,0,0.2,real,QOTc-PCA,0.5076704545454546
Amp,Right,HTL,PTT,0,0.2,real,SDM-HS4,0.5043560606060606
Amp,Right,HTL,PTT,0,0.2,real,SDM-HSsrc,0.46960227272727273
Amp,Right,HTL,PTT,0,0.2,real,SDM-PCA,0.4589015151515151
Amp,Right,HTL,PTT,0,0.2,real,COT-u,0.4850378787878788
Amp,Right,HTL,PTT,0,0.2,real,SDMu-HS4,0.6088068181818183
Amp,Right,HTL,PTT,0,0.2,real,SDMu-HSsrc,0.4973484848484849
Amp,Right,HTL,PTT,0,0.2,real,SDMu-PCA,0.5982954545454545
Amp,Right,HTL,PTT,0,0.2,srcperm,NoAdapt,0.46732954545454547
Amp,Right,HTL,PTT,0,0.2,srcperm,TargetOnly,0.48077651515151515
Amp,Right,HTL,PTT,0,0.2,srcperm,Source+Target,0.518560606060606
Amp,Right,HTL,PTT,0,0.2,srcperm,COT,0.4684659090909091
Amp,Right,HTL,PTT,0,0.2,srcperm,none-HS4,0.5739583333333333
