Enc,Side,Source,Target,Rot,AdaptFrac,ArcOK,knob,value,Method,BAC
Amp,Right,HTL,PTT,0,0.05,0,EPS,1e-12,QOTu-HSsrc,0.4964962121212121
Amp,Right,HTL,PTT,0,0.05,0,EPS,1e-12,QOTu-PCA,0.5853219696969697
Amp,Right,HTL,PTT,0,0.05,0,EPS,1e-12,none-HSsrc,0.4935606060606061
Amp,Right,HTL,PTT,0,0.05,0,EPS,1e-12,none-PCA,0.5224431818181818
Amp,Right,HTL,PTT,0,0.05,0,EPS,1e-10,QOTu-HSsrc,0.4964962121212121
Amp,Right,HTL,PTT,0,0.05,0,EPS,1e-10,QOTu-PCA,0.5853219696969697
Amp,Right,HTL,PTT,0,0.05,0,EPS,1e-10,none-HSsrc,0.4935606060606061
Amp,Right,HTL,PTT,0,0.05,0,EPS,1e-10,none-PCA,0.5224431818181818
Amp,Right,HTL,PTT,0,0.05,0,EPS,1e-09,QOTu-HSsrc,0.4964962121212121
Amp,Right,HTL,PTT,0,0.05,0,EPS,1e-09,QOTu-PCA,0.5853219696969697
Amp,Right,HTL,PTT,0,0.05,0,EPS,1e-09,none-HSsrc,0.4935606060606061
Amp,Right,HTL,PTT,0,0.05,0,EPS,1e-09,none-PCA,0.5224431818181818
Amp,Right,HTL,PTT,0,0.05,0,EPS,1e-08,QOTu-HSsrc,0.4964962121212121
Amp,Right,HTL,PTT,0,0.05,0,EPS,1e-08,QOTu-PCA,0.5853219696969697
Amp,Right,HTL,PTT,0,0.05,0,EPS,1e-08,none-HSsrc,0.4935606060606061
Amp,Right,HTL,PTT,0,0.05,0,EPS,1e-08,none-PCA,0.5224431818181818
Amp,Right,HTL,PTT,0,0.05,0,EPS,1e-06,QOTu-HSsrc,0.4964962121212121
Amp,Right,HTL,PTT,0,0.05,0,EPS,1e-06,QOTu-PCA,0.5853219696969697
Amp,Right,HTL,PTT,0,0.05,0,EPS,1e-06,none-HSsrc,0.4935606060606061
Amp,Right,HTL,PTT,0,0.05,0,EPS,1e-06,none-PCA,0.5224431818181818
Amp,Right,HTL,PTT,0,0.05,0,EPS,0.0001,QOTu-HSsrc,0.4983901515151515
Amp,Right,HTL,PTT,0,0.05,0,EPS,0.0001,QOTu-PCA,0.5854166666666667
Amp,Right,HTL,PTT,0,0.05,0,EPS,0.0001,none-HSsrc,0.4935606060606061
Amp,Right,HTL,PTT,0,0.05,0,EPS,0.0001,none-PCA,0.5224431818181818
Amp,Right,HTL,PTT,0,0.05,0,EPS,0.01,QOTu-HSsrc,0.49573863636363635
Amp,Right,HTL,PTT,0,0.05,0,EPS,0.01,QOTu-PCA,0.634280303030303
Amp,Right,HTL,PTT,0,0.05,0,EPS,0.01,none-HSsrc,0.4935606060606061
Amp,Right,HTL,PTT,0,0.05,0,EPS,0.01,none-PCA,0.5224431818181818
Amp,Right,HTL,PTT,0,0.05,0,OTREG,0.001,COT-u,0.4953598484848485
Amp,Right,HTL,PTT,0,0.05,0,OTREG,0.001,SDMu-HSsrc,0.4912878787878788
Amp,Right,HTL,PTT,0,0.05,0,OTREG,0.001,SDMu-PCA,0.43200757575757576
Amp,Right,HTL,PTT,0,0.05,0,OTREG,0.005,COT-u,0.6271780303030303
Amp,Right,HTL,PTT,0,0.05,0,OTREG,0.005,SDMu-HSsrc,0.4893939393939394
Amp,Right,HTL,PTT,0,0.05,0,OTREG,0.005,SDMu-PCA,0.44422348484848484
Amp,Right,HTL,PTT,0,0.05,0,OTREG,0.01,COT-u,0.6175189393939393
Amp,Right,HTL,PTT,0,0.05,0,OTREG,0.01,SDMu-HSsrc,0.4893939393939394
Amp,Right,HTL,PTT,0,0.05,0,OTREG,0.01,SDMu-PCA,0.5
Amp,Right,HTL,PTT,0,0.05,0,OTREG,0.05,COT-u,0.49375
