Side,Arc,Source,Target,Rot,AdaptFrac,nEval,nEvalPos,nArc,Method,Uses,BAC,Precision,Recall
Right,contig,HTL,PTT,0,0.05,1136,80,114,COT-u,arc segments,0.49375,0.06923076923076923,0.675
Right,contig,HTL,PTT,0,0.05,1136,80,114,SDMu-HSsrc,arc segments,0.4912878787878788,0.06569343065693431,0.225
Right,contig,HTL,PTT,0,0.05,1136,80,114,SDMu-PCA,arc segments,0.4464962121212121,0.055658627087198514,0.375
Right,contig,HTL,PTT,0,0.1,1136,80,227,COT-u,arc segments,0.49715909090909094,0.0698856416772554,0.6875
Right,contig,HTL,PTT,0,0.1,1136,80,227,SDMu-HS4,arc labels,0.5212121212121212,0.073558648111332,0.925
Right,contig,HTL,PTT,0,0.1,1136,80,227,SDMu-HSsrc,arc segments,0.4973484848484849,0.06882591093117409,0.2125
Right,contig,HTL,PTT,0,0.1,1136,80,227,SDMu-PCA,arc segments,0.4642992424242424,0.05919661733615222,0.35
Right,contig,HTL,PTT,0,0.2,1136,80,454,COT-u,arc segments,0.4850378787878788,0.06723891273247497,0.5875
Right,contig,HTL,PTT,0,0.2,1136,80,454,SDMu-HS4,arc labels,0.6088068181818183,0.09703947368421052,0.7375
Right,contig,HTL,PTT,0,0.2,1136,80,454,SDMu-HSsrc,arc segments,0.4973484848484849,0.06882591093117409,0.2125
Right,contig,HTL,PTT,0,0.2,1136,80,454,SDMu-PCA,arc segments,0.5982954545454545,0.1144578313253012,0.475
Right,contig,HTL,PTT,0,0.3,1136,80,682,COT-u,arc segments,0.5174242424242425,0.07733333333333334,0.3625
Right,contig,HTL,PTT,0,0.3,1136,80,682,SDMu-HS4,arc labels,0.4706439393939394,0.049019607843137254,0.125
Right,contig,HTL,PTT,0,0.3,1136,80,682,SDMu-HSsrc,arc segments,0.5103219696969697,0.07909604519774012,0.175
Right,contig,HTL,PTT,0,0.3,1136,80,682,SDMu-PCA,arc segments,0.5,0.0,0.0
Right,contig,HTL,PTT,0,0.5,1136,80,1124,COT-u,arc segments,0.4925189393939394,0.06584362139917696,0.2
Right,contig,HTL,PTT,0,0.5,1136,80,1124,SDMu-HS4,arc labels,0.48096590909090914,0.041237113402061855,0.05
Right,contig,HTL,PTT,0,0.5,1136,80,1124,SDMu-HSsrc,arc segments,0.4748106060606061,0.03636363636363636,0.05
Right,contig,HTL,PTT,0,0.5,1136,80,1124,SDMu-PCA,arc segments,0.5,0.0,0.0
Right,contig,HTL,PTT,1,0.05,1136,67,114,COT-u,arc segments,0.47726289041229775,0.054628224582701064,0.5373134328358209
Right,contig,HTL,PTT,1,0.05,1136,67,114,SDMu-HS4,arc labels,0.5965751225165101,0.0918918918918919,0.5074626865671642
Right,contig,HTL,PTT,1,0.05,1136,67,114,SDMu-HSsrc,arc segments,0.5192256677324323,0.06711409395973154,0.29850746268656714
Right,contig,HTL,PTT,1,0.05,1136,67,114,SDMu-PCA,arc segments,0.5171941973946916,0.06165228113440197,0.746268656716418
Right,contig,HTL,PTT,1,0.1,1136,67,227,COT-u,arc segments,0.4912737528447566,0.05727554179566564,0.5522388059701493
Right,contig,HTL,PTT,1,0.1,1136,67,227,SDMu-HS4,arc labels,0.653428367982352,0.10526315789473684,0.6567164179104478
Right,contig,HTL,PTT,1,0.1,1136,67,227,SDMu-HSsrc,arc segments,0.5182902140373902,0.06666666666666667,0.29850746268656714
Right,contig,HTL,PTT,1,0.1,1136,67,227,SDMu-PCA,arc segments,0.43237507504572553,0.03561643835616438,0.19402985074626866
Right,contig,HTL,PTT,1,0.2,1136,67,454,COT-u,arc segments,0.5295854683551373,0.06521739130434782,0.582089552238806
Right,contig,HTL,PTT,1,0.2,1136,67,454,SDMu-HS4,arc labels,0.669882579618279,0.12698412698412698,0.5970149253731343
Right,contig,HTL,PTT,1,0.2,1136,67,454,SDMu-HSsrc,arc segments,0.5136757745416975,0.06563706563706563,0.2537313432835821
Right,contig,HTL,PTT,1,0.2,1136,67,454,SDMu-PCA,arc segments,0.5,0.0,0.0
Right,contig,HTL,PTT,1,0.3,1136,67,682,COT-u,arc segments,0.5173338173491755,0.06583072100313479,0.31343283582089554
Right,contig,HTL,PTT,1,0.3,1136,67,682,SDMu-HS4,arc labels,0.4862264914901638,0.05025125628140704,0.14925373134328357
Right,contig,HTL,PTT,1,0.3,1136,67,682,SDMu-HSsrc,arc segments,0.4998115130614468,0.058823529411764705,0.13432835820895522
Right,contig,HTL,PTT,1,0.3,1136,67,682,SDMu-PCA,arc segments,0.49433142984795386,0.05733944954128441,0.373134328358209
Right,contig,HTL,PTT,1,0.5,1136,67,1112,COT-u,arc segments,0.48280580260530837,0.052307692307692305,0.2537313432835821
Right,contig,HTL,PTT,1,0.5,1136,67,1112,SDMu-HS4,arc labels,0.49381483601636345,0.05102040816326531,0.07462686567164178
Right,contig,HTL,PTT,1,0.5,1136,67,1112,SDMu-HSsrc,arc segments,0.4769976124987783,0.03418803418803419,0.05970149253731343
Right,contig,HTL,PTT,1,0.5,1136,67,1112,SDMu-PCA,arc segments,0.5,0.0,0.0
Right,contig,HTL,PTT,2,0.05,1136,67,114,COT-u,arc segments,0.5397079150552198,0.06601123595505617,0.7014925373134329
Right,contig,HTL,PTT,2,0.05,1136,67,114,SDMu-HSsrc,arc segments,0.4967119500719043,0.05793450881612091,0.34328358208955223
Right,contig,HTL,PTT,2,0.05,1136,67,114,SDMu-PCA,arc segments,0.6570235818103123,0.09640831758034027,0.7611940298507462
Right,contig,HTL,PTT,2,0.1,1136,67,227,COT-u,arc segments,0.493081831255323,0.05772005772005772,0.5970149253731343
Right,contig,HTL,PTT,2,0.1,1136,67,227,SDMu-HSsrc,arc segments,0.4522360135710596,0.04752851711026616,0.373134328358209
Right,contig,HTL,PTT,2,0.1,1136,67,227,SDMu-PCA,arc segments,0.5948577970763582,0.07802547770700637,0.7313432835820896
